relative_time_s,throughput,processed_count,drop_rate,avg_delay_processed
0,107.0,92.66666666666667,0.18181818181818182,1.2814244604316547
1,178.25,151.5,0.02456140350877193,1.2618894389438942
2,144.8,121.2,0.13395638629283488,1.2618894389438942
3,219.4,190.8,0.15007012622720897,1.299590146750524
4,167.0,137.0,0.16298342541436464,1.3019532846715327
5,232.4,199.0,0.13086642599277978,1.3013376884422112
6,157.0,133.4,0.14017857142857143,1.32887856071964
7,214.6,188.8,0.14160485502360082,1.3098305084745763
8,139.8,117.4,0.15020026702269693,1.282982964224872
9,179.8,157.2,0.13745130773511408,1.247293893129771
10,111.6,95.2,0.1422246817930271,1.212983193277311
11,142.2,128.0,0.1337295690936107,1.3573078125
12,85.4,72.6,0.14306712395884372,1.4285371900826445
13,120.6,108.8,0.1339972838388411,1.573345588235294
14,81.2,69.0,0.13983812949640287,1.8221391304347827
15,116.6,105.0,0.13112033195020747,1.7719219047619048
16,85.2,72.2,0.13649484536082473,1.76997783933518
17,131.0,119.8,0.13338414634146342,1.6949015025041736
18,97.8,83.6,0.13700189753320682,1.6217822966507176
19,158.8,142.4,0.12747481764501564,1.5914185393258427
20,124.8,106.4,0.13349430838220075,1.5629116541353385
21,188.4,169.2,0.12830071450761105,1.5970531914893618
22,143.0,121.6,0.13608374384236452,1.6033273026315789
23,213.2,188.8,0.12776069331842327,1.5624533898305084
24,153.6,130.0,0.1318864774624374,1.5688784615384614
25,221.6,195.8,0.1283732660781841,1.5405577119509706
26,160.6,133.0,0.13318284424379231,1.4865684210526313
27,223.6,195.6,0.13108356290174472,1.5095879345603271
28,152.0,128.4,0.1358447488584475,1.5206292834890964
29,200.4,174.2,0.1303056027164686,1.478547646383467
30,128.8,108.4,0.1326984126984127,1.474870848708487
31,163.0,142.0,0.13269192222890358,1.4396605633802815
32,97.0,79.4,0.1346,1.345969773299748
33,136.4,117.4,0.1347449470644851,1.380853492333901
34,85.2,71.6,0.13507792957475467,1.3938268156424578
35,123.2,108.4,0.1335306084705012,1.3603726937269371
36,85.4,74.8,0.1348107109879963,1.3757834224598928
37,138.2,120.8,0.1330128205128205,1.2987119205298012
38,98.0,82.8,0.13393810032017076,1.227562801932367
39,159.8,138.8,0.13400135869565216,1.213200288184438
40,121.0,102.0,0.13532304561641512,1.1835862745098038
41,196.0,169.6,0.13437399420663018,1.1829905660377358
42,145.2,123.6,0.1353480147886192,1.1865647249190938
43,215.0,190.8,0.13405028779157832,1.372149895178197
44,161.0,134.8,0.13562140913214393,1.4470044510385756
45,219.6,193.0,0.13181296615031554,1.5463253886010362
46,148.2,125.4,0.13762644251317852,1.7426746411483252
47,206.8,182.6,0.13321492007104796,1.7345629791894852
48,140.6,115.4,0.1360479368105679,1.7468318890814556
49,180.0,160.2,0.13310669456066945,1.7082721598002497
50,122.6,102.0,0.13615635179153093,1.6694176470588233
51,159.4,141.2,0.13448667761080946,1.6797507082152974
52,101.0,84.0,0.13590519415027735,1.654535714285714
53,133.0,119.4,0.1339066339066339,1.6283534338358456
54,87.4,74.6,0.13528762418741566,1.640008042895442
55,123.6,110.0,0.13345323741007195,1.6091981818181815
56,83.6,70.8,0.13511249401627573,1.5552485875706212
57,128.0,112.0,0.13403508771929826,1.5240571428571426
58,93.2,76.6,0.13484458985744333,1.5045691906005219
59,151.6,132.0,0.1345388377118162,1.4637878787878786
60,116.4,96.6,0.13581648875766522,1.4342939958592131
61,188.8,161.8,0.13462804476629361,1.4509629171817058
62,144.4,120.6,0.13633377135348226,1.4443034825870646
63,210.6,183.6,0.13565565144180172,1.4259139433551198
64,151.8,128.2,0.13683657383079348,1.4339141965678626
65,227.6,199.8,0.1350035500557866,1.425203203203203
66,156.2,134.6,0.13623012255646713,1.4007622585438333
67,214.0,189.2,0.13476144109055502,1.3847219873150105
68,147.2,126.2,0.13585529514733055,1.3817321711568935
69,193.6,171.0,0.13471894189891356,1.3678947368421053
70,115.2,99.4,0.1355356300141576,1.3378490945674042
71,149.4,130.6,0.13448943824370446,1.3034012251148543
72,90.4,76.0,0.13488843813387424,1.273386842105263
73,124.4,106.0,0.13517679057116955,1.2447905660377356
74,76.4,61.2,0.13572528766875055,1.183209150326797
