relative_time_s,throughput,processed_count,drop_rate,avg_delay_processed
0,258.3333333333333,257.6666666666667,0.0,1.7177102199223804
1,257.5,255.75,0.0,1.7148475073313785
2,314.8,312.6,0.0025806451612903226,1.773106845809341
3,363.4,360.8,0.006796116504854369,1.8109340354767185
4,306.0,303.2,0.00698856416772554,1.8425672823218997
5,310.0,307.4,0.006639427987742594,1.9984346128822381
6,259.2,257.4,0.0071465033180193975,2.0552408702408704
7,217.6,215.2,0.0064516129032258064,2.2942667286245357
8,290.2,288.0,0.006878761822871883,3.0462930555555556
9,325.8,323.8,0.008640120210368144,2.9886417541692403
10,312.2,310.4,0.007040187738339689,2.950050902061855
11,349.8,348.2,0.006688963210702341,2.871099368179207
12,321.0,320.2,0.006176016469377252,2.8536302311055586
13,212.2,211.0,0.00588957055214724,2.281890047393365
14,215.2,213.6,0.006327630653855168,2.2165131086142322
15,194.4,192.2,0.006711409395973154,2.1872497398543187
16,197.0,194.8,0.00686106346483705,2.1750718685831623
17,204.2,202.2,0.007204610951008645,2.1357032640949556
18,216.8,215.0,0.00691699604743083,2.094293953488372
19,237.2,235.6,0.00699697428139183,2.0885713073005094
20,265.6,264.0,0.007021966150522146,2.067466666666667
21,294.2,292.2,0.006837606837606838,2.0773778234086246
22,315.6,313.6,0.006951180084060782,2.093735331632653
23,333.4,331.8,0.006890215893431328,2.095921639541893
24,351.8,350.4,0.006845324788814448,2.1086329908675796
25,363.8,362.8,0.0065087937958731475,2.110455347298787
26,369.2,368.0,0.006176895781311605,2.089153260869565
27,351.4,350.0,0.0059962523422860715,2.0922834285714287
28,280.4,279.0,0.006088098364569655,2.099643010752688
29,307.2,305.4,0.006262321697784993,2.4425468238375903
30,318.4,316.2,0.006262321697784993,2.647399746995573
31,285.8,284.0,0.0061235647895024605,2.709755633802817
32,276.4,275.2,0.006147754506616651,2.7004149709302325
33,318.4,317.0,0.00611870283499898,2.603495268138801
34,255.0,253.8,0.005997001499250375,2.281212765957447
35,204.0,203.2,0.005971610376896721,1.9806417322834644
