relative_time_s,throughput,processed_count,drop_rate,avg_delay_processed
0,270.0,265.6666666666667,0.0,1.4562898368883312
1,319.0,314.25,0.012711864406779662,1.4316213206046142
2,306.2,301.2,0.016049382716049384,1.4178798140770255
3,403.4,397.6,0.014890282131661442,1.4107122736418511
4,347.4,340.8,0.016329196603527107,1.3990909624413146
5,397.6,391.0,0.01318781264211005,1.3720613810741689
6,356.8,350.0,0.01765504753282028,1.3451102857142858
7,354.0,347.6,0.016440314510364547,1.3406248561565017
8,262.2,256.2,0.017320261437908498,1.324391100702576
9,297.4,293.2,0.017267494698576188,1.3283124147339698
10,179.6,176.8,0.01680911680911681,1.281012443438914
11,162.6,160.8,0.016233766233766232,1.3881641791044774
12,153.0,151.2,0.016233766233766232,1.526366402116402
13,146.4,144.2,0.01600826232894397,1.6416851595006934
14,148.0,145.2,0.016232169208066895,1.7141046831955924
15,148.0,145.2,0.0165016501650165,1.7141046831955924
16,112.6,110.2,0.016681695220919748,1.7247241379310345
17,100.4,98.6,0.016681695220919748,2.1073590263691684
18,189.8,188.2,0.016681695220919748,3.0187747077577045
19,252.6,250.8,0.016418563922942206,2.7994417862838916
20,316.2,313.6,0.015026006549797726,2.559647959183674
21,375.8,372.2,0.01456395858922618,2.4110472864051586
22,411.6,407.0,0.01445903274056839,2.222795085995086
23,355.4,350.6,0.01456848772763262,1.692906446092413
24,328.2,324.0,0.014790220344099004,1.5892141975308642
25,331.6,327.0,0.014638346727898967,1.5833529051987765
26,338.0,333.0,0.014168937329700272,1.5752096096096095
27,332.0,327.6,0.014332247557003257,1.588521978021978
28,313.6,309.0,0.014615865084322298,1.5997728155339805
29,289.4,284.4,0.01448225923244026,1.5998586497890295
30,263.2,258.4,0.01464386129334583,1.6151168730650156
31,231.4,227.8,0.014680778422669852,1.5921474978050922
32,216.6,213.2,0.014903792681570459,1.571796435272045
33,205.2,202.6,0.014734774066797643,1.5583445212240867
34,187.8,184.8,0.01462269185612125,1.5295411255411255
35,184.2,180.8,0.014432127170048107,1.4684778761061945
36,243.6,240.0,0.014805675508945095,1.4181525
37,203.6,199.0,0.015234059725585149,1.392667336683417
38,274.0,269.0,0.014739884393063583,1.3467762081784387
39,242.6,237.4,0.015403870222393376,1.335408593091828
40,267.2,262.6,0.014910354921331869,1.3306001523229245
41,309.6,304.4,0.015540725843312918,1.3328791064388963
42,309.2,304.4,0.015469416785206259,1.3328791064388963
43,268.8,263.4,0.015006706908115359,1.3256438876233865
44,329.6,324.2,0.015419425123606804,1.3992757557063542
45,326.0,321.0,0.015477354187031606,1.46632523364486
46,248.8,243.4,0.01565106856280289,1.6111306491372228
47,304.4,298.6,0.015452710048144122,1.6298318821165438
48,285.4,280.2,0.015639234740358336,1.7116887937187724
49,270.6,266.6,0.015830546265328874,1.7109182295573893
50,257.6,253.0,0.015762971612055754,1.767308300395257
51,237.8,234.0,0.015566714490674318,1.771234188034188
52,214.6,211.4,0.015671325709445152,1.7551371807000946
53,201.6,197.8,0.015667432630039693,1.7277482305358949
54,192.4,188.2,0.015762665198237887,1.7056652497343252
55,187.4,183.8,0.01597444089456869,1.700361262241567
56,148.4,145.4,0.015971010602603676,1.6900935350756532
57,205.8,202.6,0.015890882606104748,1.9863158933859821
58,219.0,216.6,0.015890882606104748,1.930770083102493
59,240.2,237.2,0.01574853763579096,1.8763996627318718
60,262.8,259.0,0.01562697709730482,1.7443953667953669
61,331.2,326.6,0.015711358132025087,1.699856705450092
62,305.0,300.8,0.015776329414631175,1.584216090425532
63,318.2,313.4,0.01569306044513396,1.5777983407785576
64,330.4,325.2,0.015571947078796394,1.5409852398523984
65,339.2,334.6,0.015577398402023337,1.549643753735804
66,385.0,380.6,0.015713883413123065,1.502358906988965
67,321.4,316.6,0.015568928393971181,1.3981838281743524
68,307.2,302.2,0.01525369299935774,1.410545334215751
69,280.0,276.2,0.015517149125153834,1.4311774076755974
70,246.0,241.8,0.015634078064754663,1.4156344086021504
71,197.2,193.0,0.01555729574523623,1.4121295336787565
72,196.4,193.0,0.01566458150235227,1.4121295336787565
73,180.8,178.0,0.015556685307574987,1.373043820224719
74,148.4,145.8,0.015606730720349753,1.4287160493827162
75,171.8,169.2,0.015627363008519433,1.6273510638297872
76,152.4,150.0,0.01563049705985827,1.6315866666666667
77,207.0,204.6,0.01564201564201564,1.6853695014662757
78,229.0,225.6,0.015563821456538762,1.7196072695035463
79,274.6,271.0,0.015406162464985995,1.6917778597785977
80,273.8,271.0,0.015584786960251644,1.6036922509225093
81,251.0,247.8,0.0154677950164551,1.7171517352703793
82,316.6,312.4,0.015298317185109638,1.8973751600512163
83,325.2,321.6,0.015400931433577719,1.8965099502487563
84,335.2,331.0,0.0152541612454574,1.8783353474320241
85,335.8,331.0,0.015260084925690021,1.896089425981873
86,312.6,308.6,0.01525320317266626,1.8807627997407645
87,278.2,274.6,0.015225806451612903,1.993222141296431
88,305.6,302.0,0.015225806451612903,2.0635185430463574
89,281.6,278.6,0.015118243243243243,2.107907394113424
90,257.8,254.6,0.015039774610540272,2.119238805970149
91,294.4,291.0,0.01498727108483206,2.0346164948453604
92,260.5,257.25,0.015078039039895677,1.73867638483965
93,195.33333333333334,192.66666666666666,0.015006876466305314,1.5456712802768164
