task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
0,1765340460000,1765340465788,30,291,261,5788,2600
0,1765340460000,1765340465789,31,301,270,5789,2600
0,1765340460000,1765340465791,28,301,273,5791,2600
0,1765340460000,1765340465792,30,301,271,5792,2600
0,1765340460000,1765340465793,30,301,271,5793,2600
0,1765340460000,1765340465794,30,291,261,5794,2600
0,1765340462000,1765340469660,40,401,361,7660,2600
0,1765340462000,1765340469661,40,391,351,7661,2600
0,1765340462000,1765340469662,40,391,351,7662,2600
0,1765340462000,1765340469663,38,391,353,7663,2600
0,1765340462000,1765340469664,39,391,352,7664,2600
0,1765340462000,1765340469666,41,401,360,7666,2600
0,1765340464000,1765340471699,41,401,360,7699,2600
0,1765340464000,1765340471700,41,411,370,7700,2600
0,1765340464000,1765340471701,39,411,372,7701,2600
0,1765340464000,1765340471702,41,401,360,7702,2600
0,1765340464000,1765340471703,39,401,362,7703,2600
0,1765340464000,1765340471704,40,401,361,7704,2600
0,1765340466000,1765340473632,37,381,344,7632,2600
0,1765340466000,1765340473633,37,381,344,7633,2600
0,1765340466000,1765340473634,37,371,334,7634,2600
0,1765340466000,1765340473635,38,371,333,7635,2600
0,1765340466000,1765340473636,37,361,324,7636,2600
0,1765340466000,1765340473637,38,371,333,7637,2600
0,1765340468000,1765340475668,31,301,270,7668,2600
0,1765340468000,1765340475669,31,301,270,7669,2600
0,1765340468000,1765340475670,31,311,280,7670,2600
0,1765340468000,1765340475671,31,301,270,7671,2600
0,1765340468000,1765340475672,30,301,271,7672,2600
0,1765340468000,1765340475673,32,311,279,7673,2600
0,1765340470000,1765340477707,24,231,207,7707,2600
0,1765340470000,1765340477708,23,231,208,7708,2600
0,1765340470000,1765340477709,24,231,207,7709,2600
0,1765340470000,1765340477710,23,221,198,7710,2600
0,1765340470000,1765340477710,24,231,207,7710,2600
0,1765340470000,1765340477711,23,231,208,7711,2600
0,1765340472000,1765340479748,19,191,172,7748,2600
0,1765340472000,1765340479750,20,191,171,7750,2600
0,1765340472000,1765340479752,20,191,171,7752,2600
0,1765340472000,1765340479753,19,181,162,7753,2600
0,1765340472000,1765340479754,19,181,162,7754,2600
0,1765340472000,1765340479754,19,191,172,7754,2600
0,1765340474000,1765340481803,20,191,171,7803,2600
0,1765340474000,1765340481804,20,191,171,7804,2600
0,1765340474000,1765340481805,20,191,171,7805,2600
0,1765340474000,1765340481806,19,191,172,7806,2600
0,1765340474000,1765340481807,20,191,171,7807,2600
0,1765340474000,1765340481808,20,191,171,7808,2600
0,1765340476000,1765340483623,22,211,189,7623,2600
0,1765340476000,1765340483625,21,201,180,7625,2600
