task_id,system_ts,event_ts,log_id,content,lag_magnitude
2,1765356897020,1765356890824,276,Log_276,6196
2,1765356897020,1765356891151,336,Log_336,5869
2,1765356897020,1765356891827,476,Log_476,5193
2,1765356897020,1765356891940,497,Log_497,5080
2,1765356901018,1765356894625,1062,Log_1062,6393
2,1765356901019,1765356894537,1046,Log_1046,6482
2,1765356901019,1765356895262,1182,Log_1182,5757
2,1765356913017,1765356905068,2472,Log_2472,7949
2,1765356923019,1765356914599,3962,Log_3962,8420
2,1765356925021,1765356917425,4532,Log_4532,7596
2,1765356931020,1765356925903,5606,Log_5606,5117
2,1765356931020,1765356925458,5557,Log_5557,5562
2,1765356931020,1765356925383,5552,Log_5552,5637
2,1765356933019,1765356927572,5797,Log_5797,5447
2,1765356935018,1765356929899,6146,Log_6146,5119
2,1765356935020,1765356928639,5947,Log_5947,6381
2,1765356939018,1765356933951,6922,Log_6922,5067
2,1765356941021,1765356935757,7276,Log_7276,5264
2,1765356943019,1765356937530,7577,Log_7577,5489
2,1765356943019,1765356937562,7586,Log_7586,5457
2,1765356943019,1765356937837,7622,Log_7622,5182
2,1765356943019,1765356936897,7472,Log_7472,6122
2,1765356943019,1765356935015,7137,Log_7137,8004
2,1765356945020,1765356939675,7906,Log_7906,5345
2,1765356949018,1765356942214,8222,Log_8222,6804
2,1765356949019,1765356943907,8397,Log_8397,5112
2,1765356953017,1765356947929,8832,Log_8832,5088
2,1765356953018,1765356947980,8837,Log_8837,5038
2,1765356955021,1765356949557,9052,Log_9052,5464
2,1765356955021,1765356949953,9127,Log_9127,5068
2,1765356955021,1765356949509,9046,Log_9046,5512
2,1765356957019,1765356951882,9452,Log_9452,5137
2,1765356957022,1765356951169,9326,Log_9326,5853
2,1765356957023,1765356951670,9412,Log_9412,5353
2,1765356957023,1765356951508,9387,Log_9387,5515
2,1765356959021,1765356951581,9396,Log_9396,7440
2,1765356961019,1765356953587,9782,Log_9782,7432
2,1765356961019,1765356953909,9842,Log_9842,7110
2,1765356963021,1765356954077,9867,Log_9867,8944
2,1765356963021,1765356955820,10217,Log_10217,7201
2,1765356977020,1765356969316,11976,Log_11976,7704
2,1765356999018,1765356991530,15322,Log_15322,7488
2,1765357003018,1765356997306,16426,Log_16426,5712
2,1765357003019,1765356997768,16506,Log_16506,5251
2,1765357005020,1765356997376,16436,Log_16436,7644
2,1765357005020,1765356997563,16467,Log_16467,7457
2,1765357005020,1765356997840,16512,Log_16512,7180
2,1765357007022,1765356996437,16267,Log_16267,10585
2,1765357009018,1765357001424,17046,Log_17046,7594
2,1765357013018,1765357005266,17457,Log_17457,7752
2,1765357013022,1765357005620,17492,Log_17492,7402
2,1765357013022,1765357005932,17522,Log_17522,7090
2,1765357015018,1765357006856,17646,Log_17646,8162
2,1765357015018,1765357007652,17737,Log_17737,7366
2,1765357015021,1765357007536,17716,Log_17716,7485
2,1765357017017,1765357011033,18242,Log_18242,5984
