task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
2,1765356890000,1765356894652,14,131,117,4652,500
2,1765356890000,1765356894654,13,121,108,4654,500
2,1765356890000,1765356894663,13,121,108,4663,500
2,1765356892000,1765356894664,37,361,324,2664,500
2,1765356892000,1765356894666,33,361,328,2666,500
2,1765356892000,1765356894667,36,351,315,2667,500
2,1765356894000,1765356896636,43,421,378,2636,500
2,1765356894000,1765356896637,43,421,378,2637,500
2,1765356894000,1765356896638,42,421,379,2638,500
2,1765356896000,1765356898657,36,381,345,2657,500
2,1765356896000,1765356898659,37,381,344,2659,500
2,1765356896000,1765356898660,39,381,342,2660,500
2,1765356898000,1765356900665,34,331,297,2665,500
2,1765356898000,1765356900666,34,331,297,2666,500
2,1765356898000,1765356900668,32,321,289,2668,500
2,1765356900000,1765356902664,29,281,252,2664,500
2,1765356900000,1765356902665,27,271,244,2665,500
2,1765356900000,1765356902666,27,271,244,2666,500
2,1765356902000,1765356904567,21,201,180,2567,500
2,1765356902000,1765356904568,21,201,180,2568,500
2,1765356902000,1765356904569,22,211,189,2569,500
2,1765356904000,1765356908510,21,201,180,4510,500
2,1765356904000,1765356908511,21,201,180,4511,500
2,1765356904000,1765356908512,21,201,180,4512,500
2,1765356906000,1765356910660,21,211,190,4660,500
2,1765356906000,1765356910661,20,201,181,4661,500
2,1765356906000,1765356910670,19,201,182,4670,500
2,1765356908000,1765356912618,21,201,180,4618,500
2,1765356908000,1765356912620,21,201,180,4620,500
2,1765356908000,1765356912621,21,201,180,4621,500
2,1765356910000,1765356914619,28,301,273,4619,500
2,1765356910000,1765356914621,30,301,271,4621,500
2,1765356910000,1765356914622,30,301,271,4622,500
2,1765356912000,1765356916507,35,351,316,4507,500
2,1765356912000,1765356916508,36,361,325,4508,500
2,1765356912000,1765356916509,36,351,315,4509,500
2,1765356914000,1765356918657,36,361,325,4657,500
2,1765356914000,1765356918658,35,361,326,4658,500
2,1765356914000,1765356918659,35,351,316,4659,500
2,1765356916000,1765356920608,42,421,379,4608,500
2,1765356916000,1765356920610,42,421,379,4610,500
2,1765356916000,1765356920611,42,421,379,4611,500
2,1765356918000,1765356922560,37,371,334,4560,500
2,1765356918000,1765356922562,37,371,334,4562,500
2,1765356918000,1765356922563,37,371,334,4563,500
2,1765356920000,1765356924548,30,301,271,4548,500
2,1765356920000,1765356924550,30,301,271,4550,500
2,1765356920000,1765356924551,32,311,279,4551,500
2,1765356922000,1765356926587,23,221,198,4587,500
2,1765356922000,1765356926589,23,221,198,4589,500
2,1765356922000,1765356926590,23,221,198,4590,500
2,1765356924000,1765356928622,22,211,189,4622,500
2,1765356924000,1765356928624,22,211,189,4624,500
2,1765356924000,1765356928625,22,211,189,4625,500
2,1765356926000,1765356928626,20,201,181,2626,500
2,1765356926000,1765356928627,19,191,172,2627,500
2,1765356926000,1765356928627,16,201,185,2627,500
2,1765356928000,1765356930662,24,231,207,2662,500
2,1765356928000,1765356930664,22,231,209,2664,500
2,1765356928000,1765356930665,22,231,209,2665,500
2,1765356930000,1765356932634,30,291,261,2634,500
2,1765356930000,1765356932635,30,301,271,2635,500
2,1765356930000,1765356932636,30,301,271,2636,500
2,1765356932000,1765356934677,34,341,307,2677,500
2,1765356932000,1765356934678,35,341,306,2678,500
2,1765356932000,1765356934679,34,341,307,2679,500
2,1765356934000,1765356936620,39,391,352,2620,500
2,1765356934000,1765356936621,42,411,369,2621,500
2,1765356934000,1765356936622,40,391,351,2622,500
2,1765356936000,1765356938626,39,381,342,2626,500
2,1765356936000,1765356938627,35,371,336,2627,500
2,1765356936000,1765356938628,37,371,334,2628,500
2,1765356938000,1765356940626,33,331,298,2626,500
2,1765356938000,1765356940627,32,331,299,2627,500
2,1765356938000,1765356940628,31,321,290,2628,500
2,1765356940000,1765356942637,30,291,261,2637,500
2,1765356940000,1765356942639,29,291,262,2639,500
2,1765356940000,1765356942640,29,291,262,2640,500
2,1765356942000,1765356944632,25,241,216,2632,500
2,1765356942000,1765356944633,25,241,216,2633,500
2,1765356942000,1765356944634,25,241,216,2634,500
2,1765356944000,1765356946637,18,181,163,2637,500
2,1765356944000,1765356946638,20,191,171,2638,500
2,1765356944000,1765356946639,19,201,182,2639,500
2,1765356946000,1765356950643,22,211,189,4643,500
2,1765356946000,1765356950645,20,201,181,4645,500
2,1765356946000,1765356950646,22,211,189,4646,500
2,1765356948000,1765356950647,21,211,190,2647,500
2,1765356948000,1765356950648,21,201,180,2648,500
2,1765356948000,1765356950648,21,201,180,2648,500
2,1765356950000,1765356952644,28,281,253,2644,500
2,1765356950000,1765356952646,27,271,244,2646,500
2,1765356950000,1765356952647,29,291,262,2647,500
2,1765356952000,1765356954648,32,341,309,2648,500
2,1765356952000,1765356954650,32,331,299,2650,500
2,1765356952000,1765356954651,34,341,307,2651,500
2,1765356954000,1765356958596,37,361,324,4596,500
2,1765356954000,1765356958597,37,361,324,4597,500
2,1765356954000,1765356958598,36,371,335,4598,500
2,1765356956000,1765356960561,41,401,360,4561,500
2,1765356956000,1765356960562,37,381,344,4562,500
2,1765356956000,1765356960563,39,401,362,4563,500
2,1765356958000,1765356962652,34,351,317,4652,500
2,1765356958000,1765356962654,37,361,324,4654,500
2,1765356958000,1765356962655,36,351,315,4655,500
2,1765356960000,1765356964538,28,281,253,4538,500
2,1765356960000,1765356964540,29,281,252,4540,500
2,1765356960000,1765356964541,29,281,252,4541,500
2,1765356962000,1765356966632,21,221,200,4632,500
2,1765356962000,1765356966633,22,221,199,4633,500
2,1765356962000,1765356966634,23,221,198,4634,500
2,1765356964000,1765356968523,20,191,171,4523,500
2,1765356964000,1765356968524,18,191,173,4524,500
2,1765356964000,1765356968525,19,181,162,4525,500
2,1765356966000,1765356970576,18,181,163,4576,500
2,1765356966000,1765356970577,19,181,162,4577,500
2,1765356966000,1765356970578,17,181,164,4578,500
2,1765356968000,1765356972577,25,241,216,4577,500
2,1765356968000,1765356972579,25,241,216,4579,500
2,1765356968000,1765356972579,23,241,218,4579,500
2,1765356970000,1765356974563,31,301,270,4563,500
2,1765356970000,1765356974564,27,291,264,4564,500
2,1765356970000,1765356974565,30,301,271,4565,500
2,1765356972000,1765356976582,35,341,306,4582,500
2,1765356972000,1765356976583,34,331,297,4583,500
2,1765356972000,1765356976584,34,341,307,4584,500
2,1765356974000,1765356978531,39,401,362,4531,500
2,1765356974000,1765356978532,41,401,360,4532,500
2,1765356974000,1765356978533,40,401,361,4533,500
2,1765356976000,1765356980682,36,361,325,4682,500
2,1765356976000,1765356980683,37,371,334,4683,500
2,1765356976000,1765356980684,36,361,325,4684,500
2,1765356978000,1765356982631,35,361,326,4631,500
2,1765356978000,1765356982632,34,361,327,4632,500
2,1765356978000,1765356982633,37,361,324,4633,500
2,1765356980000,1765356984579,29,281,252,4579,500
2,1765356980000,1765356984581,29,281,252,4581,500
2,1765356980000,1765356984582,29,281,252,4582,500
2,1765356982000,1765356986580,21,211,190,4580,500
2,1765356982000,1765356986581,21,211,190,4581,500
2,1765356982000,1765356986583,23,221,198,4583,500
2,1765356984000,1765356988620,19,191,172,4620,500
2,1765356984000,1765356988621,19,181,162,4621,500
2,1765356984000,1765356988622,19,181,162,4622,500
2,1765356986000,1765356990655,20,191,171,4655,500
2,1765356986000,1765356990656,19,181,162,4656,500
2,1765356986000,1765356990657,19,181,162,4657,500
2,1765356988000,1765356992488,26,261,235,4488,500
2,1765356988000,1765356992489,25,251,226,4489,500
2,1765356988000,1765356992490,26,251,225,4490,500
2,1765356990000,1765356994529,29,291,262,4529,500
2,1765356990000,1765356994530,30,291,261,4530,500
2,1765356990000,1765356994531,29,281,252,4531,500
2,1765356992000,1765356996564,31,331,300,4564,500
2,1765356992000,1765356996566,33,321,288,4566,500
2,1765356992000,1765356996567,32,331,299,4567,500
2,1765356994000,1765356998600,39,391,352,4600,500
2,1765356994000,1765356998601,40,391,351,4601,500
2,1765356994000,1765356998602,38,371,333,4602,500
2,1765356996000,1765356998603,39,381,342,2603,500
2,1765356996000,1765356998604,40,391,351,2604,500
2,1765356996000,1765356998605,40,391,351,2605,500
2,1765356998000,1765357000621,32,331,299,2621,500
2,1765356998000,1765357000622,31,331,300,2622,500
2,1765356998000,1765357000623,33,341,308,2623,500
2,1765357000000,1765357004565,31,311,280,4565,500
2,1765357000000,1765357004567,33,321,288,4567,500
2,1765357000000,1765357004568,32,311,279,4568,500
2,1765357002000,1765357006609,23,241,218,4609,500
2,1765357002000,1765357006611,25,241,216,4611,500
2,1765357002000,1765357006612,25,241,216,4612,500
2,1765357004000,1765357008604,22,211,189,4604,500
2,1765357004000,1765357008606,22,211,189,4606,500
2,1765357004000,1765357008607,22,211,189,4607,500
2,1765357006000,1765357010583,20,191,171,4583,500
2,1765357006000,1765357010584,20,201,181,4584,500
2,1765357006000,1765357010585,19,201,182,4585,500
2,1765357008000,1765357012675,24,241,217,4675,500
2,1765357008000,1765357012676,23,241,218,4676,500
2,1765357008000,1765357012677,24,241,217,4677,500
2,1765357010000,1765357014559,27,271,244,4559,500
2,1765357010000,1765357014561,27,271,244,4561,500
2,1765357010000,1765357014562,27,271,244,4562,500
2,1765357012000,1765357014563,36,351,315,2563,500
2,1765357012000,1765357014564,35,351,316,2564,500
2,1765357012000,1765357014565,36,351,315,2565,500
2,1765357014000,1765357018649,41,401,360,4649,500
2,1765357014000,1765357018650,42,411,369,4650,500
2,1765357014000,1765357018651,42,411,369,4651,500
2,1765357016000,1765357020655,42,421,379,4655,500
2,1765357016000,1765357020656,41,411,370,4656,500
2,1765357016000,1765357020657,43,421,378,4657,500
2,1765357018000,1765357022658,38,371,333,4658,500
2,1765357018000,1765357022659,36,361,325,4659,500
2,1765357018000,1765357022668,38,371,333,4668,500
2,1765357020000,1765357033570,29,281,252,13570,500
2,1765357020000,1765357033571,26,281,255,13571,500
2,1765357020000,1765357033629,28,281,253,13629,500
2,1765357022000,1765357033630,6,51,45,11630,500
2,1765357022000,1765357033631,7,61,54,11631,500
2,1765357022000,1765357033633,7,61,54,11633,500
