task_id,system_ts,event_ts,log_id,content,lag_magnitude
1,1765358932163,1765358927925,1514,Log_1514,4238
1,1765358932163,1765358927507,1448,Log_1448,4656
1,1765358932163,1765358927827,1498,Log_1498,4336
1,1765358932163,1765358927010,1349,Log_1349,5153
1,1765358934162,1765358929874,1819,Log_1819,4288
1,1765358934163,1765358929650,1788,Log_1788,4513
1,1765358934163,1765358929627,1784,Log_1784,4536
1,1765358934163,1765358929595,1774,Log_1774,4568
1,1765358934164,1765358929370,1728,Log_1728,4794
1,1765358936162,1765358931701,2039,Log_2039,4461
1,1765358936162,1765358931981,2074,Log_2074,4181
1,1765358936162,1765358931778,2049,Log_2049,4384
1,1765358936162,1765358931559,2028,Log_2028,4603
1,1765358938161,1765358933613,2224,Log_2224,4548
1,1765358938161,1765358931875,2059,Log_2059,6286
1,1765358940162,1765358932797,2148,Log_2148,7365
1,1765358940163,1765358932931,2159,Log_2159,7232
1,1765358942162,1765358935267,2398,Log_2398,6895
1,1765358954161,1765358947458,4368,Log_4368,6703
1,1765358958162,1765358949847,4798,Log_4798,8315
1,1765358972162,1765358963876,6724,Log_6724,8286
1,1765358986162,1765358979808,8959,Log_8959,6354
1,1765358986164,1765358979219,8879,Log_8879,6945
1,1765358988161,1765358981826,9284,Log_9284,6335
1,1765358988161,1765358981928,9298,Log_9298,6233
1,1765358990162,1765358983701,9634,Log_9634,6461
1,1765358992162,1765358985964,10059,Log_10059,6198
1,1765358992162,1765358985449,9974,Log_9974,6713
1,1765358994162,1765358985287,9938,Log_9938,8875
1,1765358994162,1765358987788,10444,Log_10444,6374
1,1765358994162,1765358987770,10439,Log_10439,6392
1,1765358996162,1765358989822,10774,Log_10774,6340
1,1765358996162,1765358989580,10734,Log_10734,6582
1,1765358996163,1765358989750,10759,Log_10759,6413
1,1765358996163,1765358989832,10778,Log_10778,6331
1,1765358998162,1765358991750,11028,Log_11028,6412
1,1765358998162,1765358991860,11044,Log_11044,6302
1,1765358998162,1765358991101,10948,Log_10948,7061
1,1765359002162,1765358995797,11414,Log_11414,6365
1,1765359002162,1765358995900,11429,Log_11429,6262
1,1765359002162,1765358994177,11274,Log_11274,7985
1,1765359002163,1765358995820,11419,Log_11419,6343
1,1765359006161,1765358999856,11929,Log_11929,6305
1,1765359014162,1765359005552,12979,Log_12979,8610
1,1765359022162,1765359013149,14134,Log_14134,9013
1,1765359028162,1765359021314,15138,Log_15138,6848
1,1765359028162,1765359021807,15214,Log_15214,6355
1,1765359028163,1765359021928,15239,Log_15239,6235
1,1765359028164,1765359020507,14998,Log_14998,7657
1,1765359028164,1765359021541,15174,Log_15174,6623
1,1765359028164,1765359021704,15199,Log_15199,6460
1,1765359028164,1765359021992,15254,Log_15254,6172
1,1765359030161,1765359023888,15589,Log_15589,6273
1,1765359030161,1765359023810,15574,Log_15574,6351
1,1765359030170,1765359022915,15399,Log_15399,7255
1,1765359030170,1765359023651,15544,Log_15544,6519
1,1765359030170,1765359023824,15578,Log_15578,6346
1,1765359030170,1765359023989,15609,Log_15609,6181
1,1765359030170,1765359023920,15598,Log_15598,6250
1,1765359032162,1765359025929,16009,Log_16009,6233
1,1765359032162,1765359025148,15849,Log_15849,7014
1,1765359032163,1765359025870,15999,Log_15999,6293
1,1765359034161,1765359026214,16068,Log_16068,7947
1,1765359034161,1765359026938,16199,Log_16199,7223
1,1765359034162,1765359027866,16374,Log_16374,6296
1,1765359034162,1765359027682,16338,Log_16338,6480
1,1765359034162,1765359027704,16344,Log_16344,6458
1,1765359034162,1765359027886,16379,Log_16379,6276
1,1765359036162,1765359029548,16638,Log_16638,6614
1,1765359036163,1765359029717,16669,Log_16669,6446
1,1765359036163,1765359029910,16709,Log_16709,6253
1,1765359036164,1765359029767,16678,Log_16678,6397
1,1765359036164,1765359029906,16708,Log_16708,6258
1,1765359036164,1765359027879,16378,Log_16378,8285
1,1765359038162,1765359031750,16968,Log_16968,6412
1,1765359038162,1765359031397,16928,Log_16928,6765
1,1765359038162,1765359030834,16848,Log_16848,7328
1,1765359038163,1765359031523,16944,Log_16944,6640
1,1765359038163,1765359031880,16994,Log_16994,6283
1,1765359040162,1765359032686,17079,Log_17079,7476
1,1765359040162,1765359033873,17224,Log_17224,6289
1,1765359040163,1765359033193,17149,Log_17149,6970
1,1765359040163,1765359033684,17204,Log_17204,6479
1,1765359040163,1765359033339,17164,Log_17164,6824
1,1765359040163,1765359033817,17219,Log_17219,6346
1,1765359044162,1765359037616,17628,Log_17628,6546
1,1765359044162,1765359037767,17649,Log_17649,6395
1,1765359044162,1765359037843,17659,Log_17659,6319
1,1765359048161,1765359040257,17979,Log_17979,7904
1,1765359048162,1765359040891,18064,Log_18064,7271
1,1765359048162,1765359041847,18224,Log_18224,6315
1,1765359048163,1765359041475,18158,Log_18158,6688
1,1765359050161,1765359043425,18539,Log_18539,6736
1,1765359052161,1765359045917,19059,Log_19059,6244
1,1765359052162,1765359042982,18438,Log_18438,9180
1,1765359052162,1765359045859,19048,Log_19048,6303
1,1765359054161,1765359047874,19454,Log_19454,6287
1,1765359056161,1765359047849,19449,Log_19449,8312
1,1765359056162,1765359049866,19794,Log_19794,6296
