task_id,system_ts,event_ts,log_id,content,lag_magnitude
2,1765355112782,1765355105250,2192,Log_2192,7532
2,1765355116783,1765355107942,2472,Log_2472,8841
2,1765355124781,1765355117473,3962,Log_3962,7308
2,1765355138782,1765355131513,5947,Log_5947,7269
2,1765355144780,1765355137889,7137,Log_7137,6891
2,1765355152783,1765355145088,8222,Log_8222,7695
2,1765355156783,1765355149337,8667,Log_8667,7446
2,1765355164781,1765355156951,9867,Log_9867,7830
2,1765355164783,1765355156783,9842,Log_9842,8000
2,1765355178785,1765355171764,11917,Log_11917,7021
2,1765355208780,1765355199312,16267,Log_16267,9468
2,1765355220780,1765355213908,18242,Log_18242,6872
2,1765355229780,1765355220879,19646,Log_19646,8901
