task_id,system_ts,event_ts,log_id,content,lag_magnitude
2,1765360658336,1765360651999,197,Log_197,6337
2,1765360660336,1765360652775,336,Log_336,7561
2,1765360662335,1765360655752,962,Log_962,6583
2,1765360664335,1765360657582,1322,Log_1322,6753
2,1765360664336,1765360657720,1342,Log_1342,6616
2,1765360666335,1765360659974,1707,Log_1707,6361
2,1765360672334,1765360663999,2192,Log_2192,8335
2,1765360682334,1765360675966,3892,Log_3892,6368
2,1765360684334,1765360676222,3962,Log_3962,8112
2,1765360686334,1765360679049,4532,Log_4532,7285
2,1765360686334,1765360679892,4682,Log_4682,6442
2,1765360686334,1765360679931,4692,Log_4692,6403
2,1765360688334,1765360681702,4962,Log_4962,6632
2,1765360694335,1765360687526,5606,Log_5606,6809
2,1765360698333,1765360690262,5947,Log_5947,8071
2,1765360700335,1765360693777,6547,Log_6547,6558
2,1765360702333,1765360695881,6987,Log_6987,6452
2,1765360704333,1765360696639,7137,Log_7137,7694
2,1765360704334,1765360697381,7276,Log_7276,6953
2,1765360708336,1765360701928,7996,Log_7996,6408
2,1765360712334,1765360703838,8222,Log_8222,8496
2,1765360714333,1765360706820,8536,Log_8536,7513
2,1765360718333,1765360711704,9146,Log_9146,6629
2,1765360722334,1765360715700,9867,Log_9867,6634
2,1765360724335,1765360715532,9842,Log_9842,8803
2,1765360724336,1765360717444,10217,Log_10217,6892
2,1765360760333,1765360753154,15322,Log_15322,7179
2,1765360766334,1765360758061,16267,Log_16267,8273
2,1765360768336,1765360761972,16907,Log_16907,6364
2,1765360774333,1765360767556,17522,Log_17522,6777
2,1765360776334,1765360769275,17737,Log_17737,7059
2,1765360776337,1765360769160,17716,Log_17716,7177
2,1765360786334,1765360779628,19646,Log_19646,6706
