task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
2,1765360652000,1765360655782,20,191,171,3782,1000
2,1765360652000,1765360655784,19,181,162,3784,1000
2,1765360652000,1765360655786,20,191,171,3786,1000
2,1765360654000,1765360657735,38,371,333,3735,1000
2,1765360654000,1765360657736,37,361,324,3736,1000
2,1765360654000,1765360657738,35,361,326,3738,1000
2,1765360656000,1765360659708,44,441,397,3708,1000
2,1765360656000,1765360659710,43,431,388,3710,1000
2,1765360656000,1765360659711,44,441,397,3711,1000
2,1765360658000,1765360661777,38,371,333,3777,1000
2,1765360658000,1765360661779,38,371,333,3779,1000
2,1765360658000,1765360661780,35,371,336,3780,1000
2,1765360660000,1765360663802,29,281,252,3802,1000
2,1765360660000,1765360663804,30,301,271,3804,1000
2,1765360660000,1765360663805,31,301,270,3805,1000
2,1765360662000,1765360667751,27,261,234,5751,1000
2,1765360662000,1765360667753,28,271,243,5753,1000
2,1765360662000,1765360667754,27,271,244,5754,1000
2,1765360664000,1765360669780,21,201,180,5780,1000
2,1765360664000,1765360669781,20,191,171,5781,1000
2,1765360664000,1765360669783,20,191,171,5783,1000
2,1765360666000,1765360671846,21,201,180,5846,1000
2,1765360666000,1765360671847,20,201,181,5847,1000
2,1765360666000,1765360671848,20,191,171,5848,1000
2,1765360668000,1765360673703,19,201,182,5703,1000
2,1765360668000,1765360673704,21,201,180,5704,1000
2,1765360668000,1765360673705,21,201,180,5705,1000
2,1765360670000,1765360675767,23,221,198,5767,1000
2,1765360670000,1765360675769,23,221,198,5769,1000
2,1765360670000,1765360675770,24,231,207,5770,1000
2,1765360672000,1765360677829,29,311,282,5829,1000
2,1765360672000,1765360677830,30,311,281,5830,1000
2,1765360672000,1765360677831,31,311,280,5831,1000
2,1765360674000,1765360679697,37,361,324,5697,1000
2,1765360674000,1765360679699,37,361,324,5699,1000
2,1765360674000,1765360679700,36,361,325,5700,1000
2,1765360676000,1765360679701,35,361,326,3701,1000
2,1765360676000,1765360679703,36,361,325,3703,1000
2,1765360676000,1765360679704,35,351,316,3704,1000
2,1765360678000,1765360681758,43,431,388,3758,1000
2,1765360678000,1765360681760,43,431,388,3760,1000
2,1765360678000,1765360681761,42,421,379,3761,1000
2,1765360680000,1765360683818,35,351,316,3818,1000
2,1765360680000,1765360683820,34,361,327,3820,1000
2,1765360680000,1765360683822,35,351,316,3822,1000
2,1765360682000,1765360685787,28,281,253,3787,1000
2,1765360682000,1765360685789,28,281,253,3789,1000
2,1765360682000,1765360685790,28,281,253,3790,1000
2,1765360684000,1765360687786,22,211,189,3786,1000
2,1765360684000,1765360687787,21,201,180,3787,1000
2,1765360684000,1765360687788,22,211,189,3788,1000
2,1765360686000,1765360689786,24,231,207,3786,1000
2,1765360686000,1765360689788,22,221,199,3788,1000
2,1765360686000,1765360689789,23,221,198,3789,1000
2,1765360688000,1765360691719,19,201,182,3719,1000
2,1765360688000,1765360691721,20,191,171,3721,1000
2,1765360688000,1765360691722,18,201,183,3722,1000
2,1765360690000,1765360693678,24,241,217,3678,1000
2,1765360690000,1765360693679,25,241,216,3679,1000
2,1765360690000,1765360693680,24,241,217,3680,1000
2,1765360692000,1765360695788,32,311,279,3788,1000
2,1765360692000,1765360695789,31,311,280,3789,1000
2,1765360692000,1765360695790,32,321,289,3790,1000
2,1765360694000,1765360697738,34,351,317,3738,1000
2,1765360694000,1765360697740,34,351,317,3740,1000
2,1765360694000,1765360697741,37,361,324,3741,1000
2,1765360696000,1765360699707,40,401,361,3707,1000
2,1765360696000,1765360699708,42,411,369,3708,1000
2,1765360696000,1765360699709,41,411,370,3709,1000
2,1765360698000,1765360701766,37,361,324,3766,1000
2,1765360698000,1765360701768,35,351,316,3768,1000
2,1765360698000,1765360701769,34,361,327,3769,1000
2,1765360700000,1765360703831,33,321,288,3831,1000
2,1765360700000,1765360703833,33,321,288,3833,1000
2,1765360700000,1765360703834,33,321,288,3834,1000
2,1765360702000,1765360705695,29,291,262,3695,1000
2,1765360702000,1765360705696,29,291,262,3696,1000
2,1765360702000,1765360705697,30,291,261,3697,1000
2,1765360704000,1765360707762,23,221,198,3762,1000
2,1765360704000,1765360707764,22,221,199,3764,1000
2,1765360704000,1765360707764,23,221,198,3764,1000
2,1765360706000,1765360709830,20,191,171,3830,1000
2,1765360706000,1765360709832,19,191,172,3832,1000
2,1765360706000,1765360709833,19,191,172,3833,1000
2,1765360708000,1765360711695,22,211,189,3695,1000
2,1765360708000,1765360711696,21,211,190,3696,1000
2,1765360708000,1765360711697,21,211,190,3697,1000
2,1765360710000,1765360713793,22,211,189,3793,1000
2,1765360710000,1765360713794,21,211,190,3794,1000
2,1765360710000,1765360713795,23,221,198,3795,1000
2,1765360712000,1765360715830,30,291,261,3830,1000
2,1765360712000,1765360715831,29,291,262,3831,1000
2,1765360712000,1765360715833,29,291,262,3833,1000
2,1765360714000,1765360717698,37,371,334,3698,1000
2,1765360714000,1765360717699,37,361,324,3699,1000
2,1765360714000,1765360717700,38,371,333,3700,1000
2,1765360716000,1765360719792,36,361,325,3792,1000
2,1765360716000,1765360719794,34,351,317,3794,1000
2,1765360716000,1765360719795,37,361,324,3795,1000
2,1765360718000,1765360721770,41,401,360,3770,1000
2,1765360718000,1765360721771,40,401,361,3771,1000
2,1765360718000,1765360721772,39,391,352,3772,1000
2,1765360720000,1765360723786,35,341,306,3786,1000
2,1765360720000,1765360723788,34,351,317,3788,1000
2,1765360720000,1765360723788,35,341,306,3788,1000
2,1765360722000,1765360725789,28,271,243,3789,1000
2,1765360722000,1765360725790,28,271,243,3790,1000
2,1765360722000,1765360725791,27,271,244,3791,1000
2,1765360724000,1765360727725,21,211,190,3725,1000
2,1765360724000,1765360727726,21,211,190,3726,1000
2,1765360724000,1765360727727,20,211,191,3727,1000
2,1765360726000,1765360729753,18,171,153,3753,1000
2,1765360726000,1765360729754,17,171,154,3754,1000
2,1765360726000,1765360729755,17,171,154,3755,1000
2,1765360728000,1765360731792,19,181,162,3792,1000
2,1765360728000,1765360731793,20,201,181,3793,1000
2,1765360728000,1765360731794,21,201,180,3794,1000
2,1765360730000,1765360733833,26,261,235,3833,1000
2,1765360730000,1765360733834,24,251,227,3834,1000
2,1765360730000,1765360733835,27,261,234,3835,1000
2,1765360732000,1765360735672,28,311,283,3672,1000
2,1765360732000,1765360735673,32,311,279,3673,1000
