task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
1,1765357179000,1765357187896,13,121,108,8896,2000
1,1765357179000,1765357187897,13,121,108,8897,2000
1,1765357179000,1765357187898,11,121,110,8898,2000
1,1765357180000,1765357187900,31,301,270,7900,2000
1,1765357180000,1765357187900,28,301,273,7900,2000
1,1765357180000,1765357187901,31,301,270,7901,2000
1,1765357181000,1765357187903,37,361,324,6903,2000
1,1765357181000,1765357187904,37,361,324,6904,2000
1,1765357181000,1765357187905,37,371,334,6905,2000
1,1765357182000,1765357187906,40,391,351,5906,2000
1,1765357182000,1765357187907,40,391,351,5907,2000
1,1765357182000,1765357187908,40,391,351,5908,2000
1,1765357183000,1765357187909,43,421,378,4909,2000
1,1765357183000,1765357187910,42,421,379,4910,2000
1,1765357183000,1765357187911,42,411,369,4911,2000
1,1765357184000,1765357187912,40,401,361,3912,2000
1,1765357184000,1765357187913,39,401,362,3913,2000
1,1765357184000,1765357187914,41,401,360,3914,2000
1,1765357185000,1765357189933,39,391,352,4933,2000
1,1765357185000,1765357189935,37,381,344,4935,2000
1,1765357185000,1765357189936,38,371,333,4936,2000
1,1765357186000,1765357189937,37,381,344,3937,2000
1,1765357186000,1765357189938,38,381,343,3938,2000
1,1765357186000,1765357189939,37,381,344,3939,2000
1,1765357187000,1765357191810,30,321,291,4810,2000
1,1765357187000,1765357191812,32,321,289,4812,2000
1,1765357187000,1765357191813,33,321,288,4813,2000
1,1765357188000,1765357191814,31,311,280,3814,2000
1,1765357188000,1765357191815,30,301,271,3815,2000
1,1765357188000,1765357191815,31,301,270,3815,2000
1,1765357189000,1765357193846,28,281,253,4846,2000
1,1765357189000,1765357193847,28,271,243,4847,2000
1,1765357189000,1765357193848,28,281,253,4848,2000
1,1765357190000,1765357193849,22,221,199,3849,2000
1,1765357190000,1765357193850,23,231,208,3850,2000
1,1765357190000,1765357193851,23,231,208,3851,2000
1,1765357191000,1765357195830,21,201,180,4830,2000
1,1765357191000,1765357195832,20,211,191,4832,2000
1,1765357191000,1765357195833,21,201,180,4833,2000
1,1765357192000,1765357195834,19,191,172,3834,2000
1,1765357192000,1765357195835,20,191,171,3835,2000
1,1765357192000,1765357195836,19,191,172,3836,2000
1,1765357193000,1765357197867,20,201,181,4867,2000
1,1765357193000,1765357197869,21,201,180,4869,2000
1,1765357193000,1765357197870,20,191,171,4870,2000
1,1765357194000,1765357197871,19,191,172,3871,2000
1,1765357194000,1765357197871,19,181,162,3871,2000
1,1765357194000,1765357197872,19,191,172,3872,2000
1,1765357195000,1765357199949,21,201,180,4949,2000
1,1765357195000,1765357199950,21,201,180,4950,2000
1,1765357195000,1765357199951,22,211,189,4951,2000
1,1765357196000,1765357199952,21,201,180,3952,2000
1,1765357196000,1765357199953,22,211,189,3953,2000
1,1765357196000,1765357199954,21,201,180,3954,2000
1,1765357197000,1765357203977,20,191,171,6977,2000
1,1765357197000,1765357203978,21,201,180,6978,2000
1,1765357197000,1765357203979,20,201,181,6979,2000
1,1765357198000,1765357203980,26,261,235,5980,2000
1,1765357198000,1765357203981,26,261,235,5981,2000
1,1765357198000,1765357203982,26,261,235,5982,2000
1,1765357199000,1765357205930,30,301,271,6930,2000
1,1765357199000,1765357205931,29,291,262,6931,2000
1,1765357199000,1765357205932,31,301,270,6932,2000
1,1765357200000,1765357205933,33,321,288,5933,2000
1,1765357200000,1765357205934,34,331,297,5934,2000
1,1765357200000,1765357205935,32,321,289,5935,2000
1,1765357201000,1765357205935,35,361,326,4935,2000
1,1765357201000,1765357205936,36,361,325,4936,2000
1,1765357201000,1765357205937,37,361,324,4937,2000
1,1765357202000,1765357207966,36,351,315,5966,2000
1,1765357202000,1765357207967,35,351,316,5967,2000
1,1765357202000,1765357207968,36,361,325,5968,2000
1,1765357203000,1765357207969,34,351,317,4969,2000
1,1765357203000,1765357207970,36,361,325,4970,2000
1,1765357203000,1765357207971,36,351,315,4971,2000
1,1765357204000,1765357209863,37,381,344,5863,2000
1,1765357204000,1765357209864,40,391,351,5864,2000
1,1765357204000,1765357209865,39,391,352,5865,2000
1,1765357205000,1765357209866,41,411,370,4866,2000
1,1765357205000,1765357209866,43,421,378,4866,2000
1,1765357205000,1765357209867,42,421,379,4867,2000
1,1765357206000,1765357211955,42,411,369,5955,2000
1,1765357206000,1765357211957,40,401,361,5957,2000
1,1765357206000,1765357211958,40,401,361,5958,2000
1,1765357207000,1765357211959,38,381,343,4959,2000
1,1765357207000,1765357211960,39,381,342,4960,2000
1,1765357207000,1765357211960,37,361,324,4960,2000
1,1765357208000,1765357213887,35,351,316,5887,2000
1,1765357208000,1765357213888,35,341,306,5888,2000
1,1765357208000,1765357213889,36,351,315,5889,2000
1,1765357209000,1765357213890,31,301,270,4890,2000
1,1765357209000,1765357213891,32,311,279,4891,2000
1,1765357209000,1765357213892,30,301,271,4892,2000
1,1765357210000,1765357215939,28,271,243,5939,2000
1,1765357210000,1765357215940,26,261,235,5940,2000
1,1765357210000,1765357215942,27,261,234,5942,2000
1,1765357211000,1765357215942,23,221,198,4942,2000
