task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
2,1765355344000,1765355350286,3,21,18,6286,3000
2,1765355344000,1765355350287,2,11,9,6287,3000
2,1765355344000,1765355350288,2,11,9,6288,3000
2,1765355346000,1765355352164,32,311,279,6164,3000
2,1765355346000,1765355352166,33,321,288,6166,3000
2,1765355346000,1765355352167,33,321,288,6167,3000
2,1765355348000,1765355354096,40,401,361,6096,3000
2,1765355348000,1765355354097,41,401,360,6097,3000
2,1765355348000,1765355354098,40,391,351,6098,3000
2,1765355350000,1765355356100,40,401,361,6100,3000
2,1765355350000,1765355356102,41,401,360,6102,3000
2,1765355350000,1765355356111,40,401,361,6111,3000
2,1765355352000,1765355358104,37,361,324,6104,3000
2,1765355352000,1765355358105,38,371,333,6105,3000
2,1765355352000,1765355358106,37,361,324,6106,3000
2,1765355354000,1765355360208,30,301,271,6208,3000
2,1765355354000,1765355360209,29,281,252,6209,3000
2,1765355354000,1765355360210,30,301,271,6210,3000
2,1765355356000,1765355362161,24,231,207,6161,3000
2,1765355356000,1765355362162,24,231,207,6162,3000
2,1765355356000,1765355362163,24,231,207,6163,3000
2,1765355358000,1765355364142,19,181,162,6142,3000
2,1765355358000,1765355364143,20,191,171,6143,3000
2,1765355358000,1765355364144,19,181,162,6144,3000
2,1765355360000,1765355366161,19,191,172,6161,3000
2,1765355360000,1765355366162,19,191,172,6162,3000
2,1765355360000,1765355366163,20,191,171,6163,3000
2,1765355362000,1765355368226,21,201,180,6226,3000
2,1765355362000,1765355368227,19,201,182,6227,3000
2,1765355362000,1765355368228,21,201,180,6228,3000
2,1765355364000,1765355370212,28,271,243,6212,3000
2,1765355364000,1765355370213,26,271,245,6213,3000
2,1765355364000,1765355370214,26,261,235,6214,3000
2,1765355366000,1765355372098,34,351,317,6098,3000
2,1765355366000,1765355372100,35,351,316,6100,3000
2,1765355366000,1765355372101,35,351,316,6101,3000
2,1765355368000,1765355374092,35,341,306,6092,3000
2,1765355368000,1765355374094,35,341,306,6094,3000
2,1765355368000,1765355374094,33,341,308,6094,3000
2,1765355370000,1765355376196,40,401,361,6196,3000
2,1765355370000,1765355376198,40,401,361,6198,3000
2,1765355370000,1765355376199,40,401,361,6199,3000
2,1765355372000,1765355378176,37,381,344,6176,3000
2,1765355372000,1765355378178,40,391,351,6178,3000
2,1765355372000,1765355378179,38,381,343,6179,3000
2,1765355374000,1765355380237,34,341,307,6237,3000
2,1765355374000,1765355380238,35,341,306,6238,3000
2,1765355374000,1765355380239,34,331,297,6239,3000
2,1765355376000,1765355382241,27,271,244,6241,3000
2,1765355376000,1765355382243,28,271,243,6243,3000
2,1765355376000,1765355382244,28,271,243,6244,3000
2,1765355378000,1765355384247,20,191,171,6247,3000
2,1765355378000,1765355384249,20,191,171,6249,3000
2,1765355378000,1765355384251,20,191,171,6251,3000
2,1765355380000,1765355386247,23,221,198,6247,3000
2,1765355380000,1765355386248,22,221,199,6248,3000
2,1765355380000,1765355386257,20,201,181,6257,3000
2,1765355382000,1765355388207,19,201,182,6207,3000
2,1765355382000,1765355388208,21,201,180,6208,3000
2,1765355382000,1765355388209,20,211,191,6209,3000
2,1765355384000,1765355390252,29,281,252,6252,3000
2,1765355384000,1765355390254,28,271,243,6254,3000
2,1765355384000,1765355390255,29,281,252,6255,3000
2,1765355386000,1765355392259,31,311,280,6259,3000
2,1765355386000,1765355392260,31,311,280,6260,3000
2,1765355386000,1765355392261,31,311,280,6261,3000
2,1765355388000,1765355394260,39,401,362,6260,3000
2,1765355388000,1765355394261,41,411,370,6261,3000
2,1765355388000,1765355394262,41,401,360,6262,3000
2,1765355390000,1765355396210,41,411,370,6210,3000
2,1765355390000,1765355396211,42,411,369,6211,3000
2,1765355390000,1765355396213,41,401,360,6213,3000
2,1765355392000,1765355398161,31,321,290,6161,3000
2,1765355392000,1765355398163,32,321,289,6163,3000
2,1765355392000,1765355398164,33,321,288,6164,3000
2,1765355394000,1765355400109,34,331,297,6109,3000
2,1765355394000,1765355400111,33,321,288,6111,3000
2,1765355394000,1765355400111,33,321,288,6111,3000
2,1765355396000,1765355402123,26,251,225,6123,3000
2,1765355396000,1765355402124,25,241,216,6124,3000
2,1765355396000,1765355402125,25,251,226,6125,3000
2,1765355398000,1765355404159,22,211,189,6159,3000
2,1765355398000,1765355404160,22,221,199,6160,3000
2,1765355398000,1765355404161,22,211,189,6161,3000
2,1765355400000,1765355406201,21,201,180,6201,3000
2,1765355400000,1765355406202,19,191,172,6202,3000
2,1765355400000,1765355406204,19,191,172,6204,3000
2,1765355402000,1765355408152,21,201,180,6152,3000
2,1765355402000,1765355408153,22,211,189,6153,3000
2,1765355402000,1765355408154,21,201,180,6154,3000
2,1765355404000,1765355410123,25,251,226,6123,3000
2,1765355404000,1765355410124,25,251,226,6124,3000
2,1765355404000,1765355410126,26,251,225,6126,3000
2,1765355406000,1765355412216,33,321,288,6216,3000
2,1765355406000,1765355412217,32,321,289,6217,3000
2,1765355406000,1765355412218,33,321,288,6218,3000
2,1765355408000,1765355414144,38,371,333,6144,3000
2,1765355408000,1765355414145,38,371,333,6145,3000
2,1765355408000,1765355414146,38,371,333,6146,3000
2,1765355410000,1765355418218,37,361,324,8218,3000
2,1765355410000,1765355418220,35,361,326,8220,3000
2,1765355410000,1765355418221,37,361,324,8221,3000
2,1765355412000,1765355420252,41,411,370,8252,3000
2,1765355412000,1765355420253,39,401,362,8253,3000
2,1765355412000,1765355420254,41,401,360,8254,3000
2,1765355414000,1765355422280,30,291,261,8280,3000
2,1765355414000,1765355422281,30,291,261,8281,3000
2,1765355414000,1765355422282,30,291,261,8282,3000
2,1765355416000,1765355424214,25,261,236,8214,3000
2,1765355416000,1765355424215,27,271,244,8215,3000
2,1765355416000,1765355424216,27,271,244,8216,3000
2,1765355418000,1765355426252,19,181,162,8252,3000
2,1765355418000,1765355426254,19,181,162,8254,3000
2,1765355418000,1765355426255,17,181,164,8255,3000
2,1765355420000,1765355428204,18,181,163,8204,3000
2,1765355420000,1765355428206,17,181,164,8206,3000
2,1765355420000,1765355428207,19,181,162,8207,3000
2,1765355422000,1765355430153,21,201,180,8153,3000
2,1765355422000,1765355430154,20,191,171,8154,3000
2,1765355422000,1765355430155,20,191,171,8155,3000
2,1765355424000,1765355432103,28,281,253,8103,3000
2,1765355424000,1765355432104,28,281,253,8104,3000
2,1765355424000,1765355432105,29,281,252,8105,3000
2,1765355426000,1765355432106,34,331,297,6106,3000
2,1765355426000,1765355432107,30,321,291,6107,3000
2,1765355426000,1765355432108,33,331,298,6108,3000
2,1765355428000,1765355434264,40,391,351,6264,3000
2,1765355428000,1765355434265,39,381,342,6265,3000
2,1765355428000,1765355434266,39,391,352,6266,3000
2,1765355430000,1765355436216,37,381,344,6216,3000
2,1765355430000,1765355436218,38,381,343,6218,3000
2,1765355430000,1765355436219,37,381,344,6219,3000
2,1765355432000,1765355438248,35,351,316,6248,3000
2,1765355432000,1765355438250,35,341,306,6250,3000
2,1765355432000,1765355438251,33,341,308,6251,3000
2,1765355434000,1765355440235,34,331,297,6235,3000
2,1765355434000,1765355440236,30,321,291,6236,3000
2,1765355434000,1765355440237,34,331,297,6237,3000
2,1765355436000,1765355442220,24,241,217,6220,3000
2,1765355436000,1765355442221,25,241,216,6221,3000
2,1765355436000,1765355442222,25,241,216,6222,3000
2,1765355438000,1765355444113,19,201,182,6113,3000
2,1765355438000,1765355444114,22,211,189,6114,3000
2,1765355438000,1765355444115,22,211,189,6115,3000
2,1765355440000,1765355446209,19,181,162,6209,3000
2,1765355440000,1765355446210,18,171,153,6210,3000
2,1765355440000,1765355446211,18,171,153,6211,3000
2,1765355442000,1765355448239,21,201,180,6239,3000
2,1765355442000,1765355448241,22,211,189,6241,3000
2,1765355442000,1765355448242,22,211,189,6242,3000
2,1765355444000,1765355450182,28,291,263,6182,3000
2,1765355444000,1765355450184,28,291,263,6184,3000
2,1765355444000,1765355450185,30,291,261,6185,3000
2,1765355446000,1765355452248,33,321,288,6248,3000
2,1765355446000,1765355452249,31,321,290,6249,3000
2,1765355446000,1765355452250,31,321,290,6250,3000
2,1765355448000,1765355454252,36,361,325,6252,3000
2,1765355448000,1765355454253,37,361,324,6253,3000
2,1765355448000,1765355454254,37,361,324,6254,3000
2,1765355450000,1765355456255,40,391,351,6255,3000
2,1765355450000,1765355456256,41,401,360,6256,3000
2,1765355450000,1765355456257,39,391,352,6257,3000
2,1765355452000,1765355458259,36,361,325,6259,3000
2,1765355452000,1765355458261,36,351,315,6261,3000
2,1765355452000,1765355458261,37,361,324,6261,3000
2,1765355454000,1765355460263,34,331,297,6263,3000
2,1765355454000,1765355460264,33,341,308,6264,3000
2,1765355454000,1765355460264,34,331,297,6264,3000
2,1765355456000,1765355462162,26,261,235,6162,3000
2,1765355456000,1765355462164,27,261,234,6164,3000
2,1765355456000,1765355462165,26,251,225,6165,3000
2,1765355458000,1765355464267,22,211,189,6267,3000
2,1765355458000,1765355464268,22,211,189,6268,3000
2,1765355458000,1765355464269,23,221,198,6269,3000
2,1765355460000,1765355466271,20,191,171,6271,3000
2,1765355460000,1765355466273,21,201,180,6273,3000
2,1765355460000,1765355466274,21,201,180,6274,3000
2,1765355462000,1765355468276,24,231,207,6276,3000
2,1765355462000,1765355468277,24,231,207,6277,3000
2,1765355462000,1765355468278,24,231,207,6278,3000
2,1765355464000,1765355470205,25,261,236,6205,3000
2,1765355464000,1765355470206,26,251,225,6206,3000
2,1765355464000,1765355470207,26,261,235,6207,3000
2,1765355466000,1765355472282,32,311,279,6282,3000
2,1765355466000,1765355472284,32,311,279,6284,3000
2,1765355466000,1765355472285,32,321,289,6285,3000
2,1765355468000,1765355474082,38,371,333,6082,3000
2,1765355468000,1765355474083,38,371,333,6083,3000
2,1765355468000,1765355474084,38,371,333,6084,3000
2,1765355470000,1765355476085,44,431,387,6085,3000
2,1765355470000,1765355476086,43,421,378,6086,3000
2,1765355470000,1765355476087,43,431,388,6087,3000
2,1765355472000,1765355478089,39,391,352,6089,3000
2,1765355472000,1765355478090,40,391,351,6090,3000
2,1765355472000,1765355478099,41,401,360,6099,3000
2,1765355474000,1765355488296,33,321,288,14296,3000
2,1765355474000,1765355488298,31,311,280,14298,3000
2,1765355474000,1765355488299,33,321,288,14299,3000
2,1765355476000,1765355488299,15,161,146,12299,3000
2,1765355476000,1765355488300,17,161,144,12300,3000
2,1765355476000,1765355488301,16,161,145,12301,3000
