task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,current_wm
0,1765430794000,1765430796674,4,10,6,2674,1765430794015
0,1765430794000,1765430796679,5,13,8,2679,1765430794015
0,1765430796000,1765430798739,104,316,212,2739,1765430796024
0,1765430796000,1765430798749,107,322,215,2749,1765430796024
0,1765430798000,1765430800652,130,403,273,2652,1765430798037
0,1765430798000,1765430800657,135,403,268,2657,1765430798037
0,1765430800000,1765430802615,135,412,277,2615,1765430800052
0,1765430800000,1765430802622,133,412,279,2622,1765430800052
0,1765430802000,1765430804627,125,379,254,2627,1765430802103
0,1765430802000,1765430804633,124,379,255,2633,1765430802103
0,1765430804000,1765430806702,100,307,207,2702,1765430804075
0,1765430804000,1765430806708,102,307,205,2708,1765430804075
0,1765430806000,1765430808452,78,235,157,2452,1765430806032
0,1765430806000,1765430808458,78,235,157,2458,1765430806032
0,1765430808000,1765430810515,61,187,126,2515,1765430808109
0,1765430808000,1765430810521,63,187,124,2521,1765430808109
0,1765430810000,1765430812333,67,205,138,2333,1765430810055
0,1765430810000,1765430812338,67,202,135,2338,1765430810055
0,1765430812000,1765430814314,68,205,137,2314,1765430812021
0,1765430812000,1765430814322,69,205,136,2322,1765430812021
0,1765430814000,1765430816231,90,274,184,2231,1765430814026
0,1765430814000,1765430816236,88,271,183,2236,1765430814026
0,1765430816000,1765430818281,118,358,240,2281,1765430816094
0,1765430816000,1765430818286,116,355,239,2286,1765430816094
0,1765430818000,1765430820256,116,352,236,2256,1765430818078
0,1765430818000,1765430820262,117,352,235,2262,1765430818078
0,1765430820000,1765430822884,132,403,271,2884,1765430820032
0,1765430820000,1765430822892,132,403,271,2892,1765430820032
0,1765430822000,1765430824809,129,394,265,2809,1765430822059
0,1765430822000,1765430824814,129,394,265,2814,1765430822059
0,1765430824000,1765430826903,112,346,234,2903,1765430824111
0,1765430824000,1765430826911,115,346,231,2911,1765430824111
0,1765430826000,1765430828722,91,280,189,2722,1765430826033
0,1765430826000,1765430828728,92,277,185,2728,1765430826033
0,1765430828000,1765430830699,65,193,128,2699,1765430828004
0,1765430828000,1765430830708,65,193,128,2708,1765430828004
0,1765430830000,1765430832714,72,226,154,2714,1765430830011
0,1765430830000,1765430832721,76,226,150,2721,1765430830011
0,1765430832000,1765430834658,70,214,144,2658,1765430832027
0,1765430832000,1765430834664,68,214,146,2664,1765430832027
0,1765430834000,1765430836530,89,277,188,2530,1765430834028
0,1765430834000,1765430836535,92,277,185,2535,1765430834028
0,1765430836000,1765430838557,106,325,219,2557,1765430835999
0,1765430836000,1765430838563,107,325,218,2563,1765430835999
0,1765430838000,1765430840646,133,406,273,2646,1765430838161
0,1765430838000,1765430840654,130,406,276,2654,1765430838161
0,1765430840000,1765430842567,137,415,278,2567,1765430840209
0,1765430840000,1765430842572,134,418,284,2572,1765430840209
0,1765430842000,1765430844455,106,328,222,2455,1765430842034
0,1765430842000,1765430844460,108,328,220,2460,1765430842034
0,1765430844000,1765430846342,110,334,224,2342,1765430844055
0,1765430844000,1765430846347,111,337,226,2347,1765430844055
0,1765430846000,1765430848437,86,259,173,2437,1765430846085
0,1765430846000,1765430848445,85,259,174,2445,1765430846085
0,1765430848000,1765430850277,72,220,148,2277,1765430848005
0,1765430848000,1765430850282,73,223,150,2282,1765430848005
0,1765430850000,1765430852199,66,199,133,2199,1765430850030
0,1765430850000,1765430852204,68,202,134,2204,1765430850030
0,1765430852000,1765430854201,69,208,139,2201,1765430852077
0,1765430852000,1765430854207,68,205,137,2207,1765430852077
0,1765430854000,1765430856875,86,259,173,2875,1765430854002
0,1765430854000,1765430856881,84,256,172,2881,1765430854002
0,1765430856000,1765430858858,107,322,215,2858,1765430856102
0,1765430856000,1765430858864,106,322,216,2864,1765430856102
0,1765430858000,1765430860807,128,385,257,2807,1765430858062
0,1765430858000,1765430860812,126,385,259,2812,1765430858062
0,1765430860000,1765430862710,123,367,244,2710,1765430860018
0,1765430860000,1765430862716,119,367,248,2716,1765430860018
0,1765430862000,1765430864713,134,412,278,2713,1765430862017
0,1765430862000,1765430864718,136,415,279,2718,1765430862017
0,1765430864000,1765430866727,101,304,203,2727,1765430864050
0,1765430864000,1765430866733,101,304,203,2733,1765430864050
0,1765430866000,1765430868729,86,265,179,2729,1765430866146
0,1765430866000,1765430868735,86,262,176,2735,1765430866146
0,1765430868000,1765430870689,63,190,127,2689,1765430868111
0,1765430868000,1765430870700,62,190,128,2700,1765430868111
0,1765430870000,1765430872534,62,187,125,2534,1765430870057
0,1765430870000,1765430872540,59,187,128,2540,1765430870057
0,1765430872000,1765430874515,68,205,137,2515,1765430872068
0,1765430872000,1765430874522,67,205,138,2522,1765430872068
0,1765430874000,1765430876439,95,292,197,2439,1765430874020
0,1765430874000,1765430876443,92,289,197,2443,1765430874020
0,1765430876000,1765430878460,108,331,223,2460,1765430876092
0,1765430876000,1765430878466,107,334,227,2466,1765430876092
0,1765430878000,1765430880369,130,400,270,2369,1765430878002
0,1765430878000,1765430880374,133,400,267,2374,1765430878002
0,1765430880000,1765430882353,126,388,262,2353,1765430880064
0,1765430880000,1765430882358,126,388,262,2358,1765430880064
0,1765430882000,1765430884277,116,355,239,2277,1765430882008
0,1765430882000,1765430884283,115,352,237,2283,1765430882008
0,1765430884000,1765430886272,108,331,223,2272,1765430884029
0,1765430884000,1765430886278,109,334,225,2278,1765430884029
0,1765430886000,1765430888843,82,247,165,2843,1765430886042
0,1765430886000,1765430888847,82,247,165,2847,1765430886042
0,1765430888000,1765430890940,71,217,146,2940,1765430888091
0,1765430888000,1765430890948,72,217,145,2948,1765430888091
0,1765430890000,1765430892845,60,187,127,2845,1765430890035
0,1765430890000,1765430892850,61,184,123,2850,1765430890035
0,1765430892000,1765430894793,69,208,139,2793,1765430891999
0,1765430892000,1765430894798,70,208,138,2798,1765430891999
0,1765430894000,1765430896767,99,301,202,2767,1765430894085
0,1765430894000,1765430896772,99,298,199,2772,1765430894085
0,1765430896000,1765430898692,106,325,219,2692,1765430896021
0,1765430896000,1765430898697,107,325,218,2697,1765430896021
0,1765430898000,1765430900696,118,361,243,2696,1765430898059
0,1765430898000,1765430900701,118,361,243,2701,1765430898059
0,1765430900000,1765430902611,134,409,275,2611,1765430900104
0,1765430900000,1765430902616,137,409,272,2616,1765430900104
0,1765430902000,1765430904619,121,364,243,2619,1765430902114
0,1765430902000,1765430904624,117,361,244,2624,1765430902114
0,1765430904000,1765430906491,111,334,223,2491,1765430904001
0,1765430904000,1765430906497,109,334,225,2497,1765430904001
0,1765430906000,1765430908431,91,274,183,2431,1765430906051
0,1765430906000,1765430908437,90,274,184,2437,1765430906051
0,1765430908000,1765430910405,75,226,151,2405,1765430908064
0,1765430908000,1765430910413,76,226,150,2413,1765430908064
0,1765430910000,1765430912503,67,205,138,2503,1765430910110
0,1765430910000,1765430912507,66,202,136,2507,1765430910110
0,1765430912000,1765430914325,79,235,156,2325,1765430912012
0,1765430912000,1765430914332,78,238,160,2332,1765430912012
0,1765430914000,1765430916324,86,259,173,2324,1765430914006
0,1765430914000,1765430916331,86,262,176,2331,1765430914006
0,1765430916000,1765430918259,106,319,213,2259,1765430916013
0,1765430916000,1765430918265,103,316,213,2265,1765430916013
0,1765430918000,1765430920172,127,382,255,2172,1765430918000
0,1765430918000,1765430920178,124,382,258,2178,1765430918000
0,1765430920000,1765430922854,146,439,293,2854,1765430920015
0,1765430920000,1765430922859,146,439,293,2859,1765430920015
0,1765430922000,1765430924955,133,403,270,2955,1765430922079
0,1765430922000,1765430924960,128,400,272,2960,1765430922079
0,1765430924000,1765430938639,106,325,219,14639,9223372036854775807
0,1765430924000,1765430938704,109,328,219,14704,9223372036854775807
0,1765430926000,1765430938710,58,175,117,12710,9223372036854775807
0,1765430926000,1765430938718,56,175,119,12718,9223372036854775807
