task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,current_wm
0,1765430510000,1765430512268,3,7,4,2268,1765430510016
0,1765430510000,1765430512275,4,10,6,2275,1765430510016
0,1765430512000,1765430514177,105,316,211,2177,1765430512041
0,1765430512000,1765430514187,101,316,215,2187,1765430512041
0,1765430514000,1765430516215,130,400,270,2215,1765430514040
0,1765430514000,1765430516222,136,406,270,2222,1765430514040
0,1765430516000,1765430518122,134,409,275,2122,1765430516034
0,1765430516000,1765430518130,132,412,280,2130,1765430516034
0,1765430518000,1765430520070,125,376,251,2070,1765430518002
0,1765430518000,1765430520076,124,379,255,2076,1765430518002
0,1765430520000,1765430522125,99,307,208,2125,1765430520065
0,1765430520000,1765430522131,103,310,207,2131,1765430520065
0,1765430522000,1765430524877,78,238,160,2877,1765430522184
0,1765430522000,1765430524885,79,241,162,2885,1765430522184
0,1765430524000,1765430526873,61,187,126,2873,1765430524103
0,1765430524000,1765430526879,63,187,124,2879,1765430524103
0,1765430526000,1765430528683,65,199,134,2683,1765430526013
0,1765430526000,1765430528689,66,202,136,2689,1765430526013
0,1765430528000,1765430530724,68,205,137,2724,1765430528050
0,1765430528000,1765430530730,68,202,134,2730,1765430528050
0,1765430530000,1765430532618,90,274,184,2618,1765430530037
0,1765430530000,1765430532623,88,274,186,2623,1765430530037
0,1765430532000,1765430534554,117,355,238,2554,1765430532006
0,1765430532000,1765430534560,116,355,239,2560,1765430532006
0,1765430534000,1765430536439,114,349,235,2439,1765430534003
0,1765430534000,1765430536444,116,349,233,2444,1765430534003
0,1765430536000,1765430538376,130,400,270,2376,1765430536037
0,1765430536000,1765430538382,131,403,272,2382,1765430536037
0,1765430538000,1765430540446,131,403,272,2446,1765430538087
0,1765430538000,1765430540451,132,403,271,2451,1765430538087
0,1765430540000,1765430542267,112,346,234,2267,1765430540050
0,1765430540000,1765430542272,115,346,231,2272,1765430540050
0,1765430542000,1765430544247,90,277,187,2247,1765430542041
0,1765430542000,1765430544252,92,277,185,2252,1765430542041
0,1765430544000,1765430546341,66,196,130,2341,1765430544009
0,1765430544000,1765430546347,66,196,130,2347,1765430544009
0,1765430546000,1765430548274,72,223,151,2274,1765430546019
0,1765430546000,1765430548280,75,223,148,2280,1765430546019
0,1765430548000,1765430550109,68,214,146,2109,1765430548041
0,1765430548000,1765430550114,68,214,146,2114,1765430548041
0,1765430550000,1765430552111,89,277,188,2111,1765430550005
0,1765430550000,1765430552117,92,277,185,2117,1765430550005
0,1765430552000,1765430554125,107,328,221,2125,1765430552081
0,1765430552000,1765430554132,108,328,220,2132,1765430552081
0,1765430554000,1765430556043,132,403,271,2043,1765430554000
0,1765430554000,1765430556051,127,403,276,2051,1765430554000
0,1765430556000,1765430558794,137,415,278,2794,1765430556003
0,1765430556000,1765430558799,133,415,282,2799,1765430556003
0,1765430558000,1765430560813,107,331,224,2813,1765430558014
0,1765430558000,1765430560818,109,331,222,2818,1765430558014
0,1765430560000,1765430562724,110,334,224,2724,1765430560032
0,1765430560000,1765430562730,110,334,224,2730,1765430560032
0,1765430562000,1765430564754,87,262,175,2754,1765430562005
0,1765430562000,1765430564762,86,262,176,2762,1765430562005
0,1765430564000,1765430566721,72,220,148,2721,1765430564102
0,1765430564000,1765430566726,72,220,148,2726,1765430564102
0,1765430566000,1765430568616,67,202,135,2616,1765430566031
0,1765430566000,1765430568624,68,202,134,2624,1765430566031
0,1765430568000,1765430570550,68,205,137,2550,1765430568011
0,1765430568000,1765430570555,67,205,138,2555,1765430568011
0,1765430570000,1765430572468,83,253,170,2468,1765430570014
0,1765430570000,1765430572474,82,253,171,2474,1765430570014
0,1765430572000,1765430574456,108,325,217,2456,1765430572005
0,1765430572000,1765430574462,107,322,215,2462,1765430572005
0,1765430574000,1765430576451,128,385,257,2451,1765430574063
0,1765430574000,1765430576456,125,382,257,2456,1765430574063
0,1765430576000,1765430578425,119,367,248,2425,1765430576050
0,1765430576000,1765430578431,123,367,244,2431,1765430576050
0,1765430578000,1765430580351,136,418,282,2351,1765430578041
0,1765430578000,1765430580356,135,415,280,2356,1765430578041
0,1765430580000,1765430582347,103,310,207,2347,1765430580023
0,1765430580000,1765430582352,102,310,208,2352,1765430580023
0,1765430582000,1765430584150,84,262,178,2150,1765430582013
0,1765430582000,1765430584156,84,259,175,2156,1765430582013
0,1765430584000,1765430586167,63,190,127,2167,1765430584044
0,1765430584000,1765430586172,63,193,130,2172,1765430584044
0,1765430586000,1765430588224,62,187,125,2224,1765430586053
0,1765430586000,1765430588233,59,187,128,2233,1765430586053
0,1765430588000,1765430590165,68,205,137,2165,1765430588043
0,1765430588000,1765430590175,66,202,136,2175,1765430588043
0,1765430590000,1765430592788,94,289,195,2788,1765430590000
0,1765430590000,1765430592796,93,292,199,2796,1765430590000
0,1765430592000,1765430594752,107,328,221,2752,1765430592053
