task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,current_wm
0,1765432972000,1765432972992,3,7,4,992,1765432972044
0,1765432972000,1765432972999,3,7,4,999,1765432972044
0,1765432973000,1765432973848,41,145,104,848,1765432973122
0,1765432973000,1765432973853,47,148,101,853,1765432973122
0,1765432974000,1765432974670,94,313,219,670,1765432974019
0,1765432974000,1765432974675,101,319,218,675,1765432974019
0,1765432975000,1765432975952,117,367,250,952,1765432975008
0,1765432975000,1765432975960,116,367,251,960,1765432975008
0,1765432976000,1765432976681,122,400,278,681,1765432976007
0,1765432976000,1765432976687,128,397,269,687,1765432976007
0,1765432977000,1765432977785,136,433,297,785,1765432976999
0,1765432977000,1765432977790,133,433,300,790,1765432976999
0,1765432978000,1765432978693,127,409,282,693,1765432978014
0,1765432978000,1765432978700,126,406,280,700,1765432978014
0,1765432979000,1765432980813,123,391,268,1813,1765432979044
0,1765432979000,1765432980819,124,388,264,1819,1765432979044
0,1765432980000,1765432983459,124,379,255,3459,1765432980014
0,1765432980000,1765432983468,123,376,253,3468,1765432980014
0,1765432981000,1765432983579,106,328,222,2579,1765432981024
0,1765432981000,1765432983584,105,331,226,2584,1765432981024
0,1765432982000,1765432983722,96,313,217,1722,1765432982046
0,1765432982000,1765432983728,101,313,212,1728,1765432982046
0,1765432983000,1765432984456,90,280,190,1456,1765432983086
0,1765432983000,1765432984463,89,277,188,1463,1765432983086
0,1765432984000,1765432985541,77,238,161,1541,1765432984124
0,1765432984000,1765432985547,77,241,164,1547,1765432984124
0,1765432985000,1765432986304,67,205,138,1304,1765432985016
0,1765432985000,1765432986311,66,205,139,1311,1765432985016
0,1765432986000,1765432987334,62,190,128,1334,1765432986026
0,1765432986000,1765432987339,60,187,127,1339,1765432986026
0,1765432987000,1765432988416,66,214,148,1416,1765432987142
0,1765432987000,1765432988421,68,211,143,1421,1765432987142
0,1765432988000,1765432989234,63,199,136,1234,1765432988038
0,1765432988000,1765432989239,64,202,138,1239,1765432988038
0,1765432989000,1765432990336,61,202,141,1336,1765432989098
0,1765432989000,1765432990344,63,199,136,1344,1765432989098
0,1765432990000,1765432991349,66,202,136,1349,1765432990104
0,1765432990000,1765432991356,65,202,137,1356,1765432990104
0,1765432991000,1765432992234,70,223,153,1234,1765432991021
0,1765432991000,1765432992243,72,226,154,1243,1765432991021
0,1765432992000,1765432993143,83,277,194,1143,1765432992038
0,1765432992000,1765432993151,87,274,187,1151,1765432992038
0,1765432993000,1765432994314,92,298,206,1314,1765432993148
0,1765432993000,1765432994320,94,295,201,1320,1765432993148
0,1765432994000,1765432995200,110,352,242,1200,1765432994075
0,1765432994000,1765432995208,105,349,244,1208,1765432994075
0,1765432995000,1765432996215,116,370,254,1215,1765432995022
0,1765432995000,1765432996224,119,370,251,1224,1765432995022
0,1765432996000,1765432997256,110,349,239,1256,1765432996034
0,1765432996000,1765432997262,113,346,233,1262,1765432996034
0,1765432997000,1765432998063,116,367,251,1063,1765432997025
0,1765432997000,1765432998068,116,364,248,1068,1765432997025
0,1765432998000,1765432999322,127,403,276,1322,1765432998128
0,1765432998000,1765432999331,129,403,274,1331,1765432998128
0,1765432999000,1765433000155,136,424,288,1155,1765432999022
0,1765432999000,1765433000161,133,424,291,1161,1765432999022
0,1765433000000,1765433001080,124,403,279,1080,1765433000000
0,1765433000000,1765433001087,126,403,277,1087,1765433000000
0,1765433001000,1765433002101,124,373,249,1101,1765433001064
0,1765433001000,1765433002106,119,379,260,1106,1765433001064
0,1765433002000,1765433004636,112,346,234,2636,1765433002014
0,1765433002000,1765433004645,108,349,241,2645,1765433002014
0,1765433003000,1765433005413,101,310,209,2413,1765433003180
0,1765433003000,1765433005421,96,307,211,2421,1765433003180
0,1765433004000,1765433005540,87,277,190,1540,1765433004000
0,1765433004000,1765433005546,91,280,189,1546,1765433004000
0,1765433005000,1765433006026,73,223,150,1026,1765433005097
0,1765433005000,1765433006032,71,220,149,1032,1765433005097
0,1765433006000,1765433007037,66,196,130,1037,1765433006082
0,1765433006000,1765433007043,64,196,132,1043,1765433006082
0,1765433007000,1765433008025,71,223,152,1025,1765433007008
0,1765433007000,1765433008033,72,220,148,1033,1765433007008
0,1765433008000,1765433009044,69,223,154,1044,1765433008084
0,1765433008000,1765433009049,74,220,146,1049,1765433008084
0,1765433009000,1765433010014,63,202,139,1014,1765433009097
0,1765433009000,1765433010023,65,205,140,1023,1765433009097
0,1765433010000,1765433011057,67,211,144,1057,1765433010063
0,1765433010000,1765433011063,66,214,148,1063,1765433010063
0,1765433011000,1765433012063,78,247,169,1063,1765433011077
0,1765433011000,1765433012072,78,247,169,1072,1765433011077
0,1765433012000,1765433012954,84,271,187,954,1765433012005
0,1765433012000,1765433012963,85,274,189,963,1765433012005
0,1765433013000,1765433014401,97,307,210,1401,1765433013008
0,1765433013000,1765433014410,98,307,209,1410,1765433013008
0,1765433014000,1765433015328,106,328,222,1328,1765433014078
0,1765433014000,1765433015337,103,325,222,1337,1765433014078
0,1765433015000,1765433016349,113,355,242,1349,1765433015021
0,1765433015000,1765433016355,109,355,246,1355,1765433015021
0,1765433016000,1765433020432,126,397,271,4432,1765433016053
0,1765433016000,1765433020438,127,403,276,4438,1765433016053
0,1765433017000,1765433020672,131,412,281,3672,1765433017093
0,1765433017000,1765433020677,132,412,280,3677,1765433017093
0,1765433018000,1765433020965,134,412,278,2965,1765433018107
0,1765433018000,1765433020970,128,412,284,2970,1765433018107
0,1765433019000,1765433021193,122,379,257,2193,1765433019111
0,1765433019000,1765433021199,121,376,255,2199,1765433019111
0,1765433020000,1765433021408,105,337,232,1408,1765433020008
0,1765433020000,1765433021413,106,337,231,1413,1765433020008
0,1765433021000,1765433022305,104,334,230,1305,1765433021056
0,1765433021000,1765433022310,104,334,230,1310,1765433021056
0,1765433022000,1765433023300,106,331,225,1300,1765433022084
0,1765433022000,1765433023306,109,334,225,1306,1765433022084
0,1765433023000,1765433024301,93,298,205,1301,1765433023049
0,1765433023000,1765433024310,94,301,207,1310,1765433023049
0,1765433024000,1765433025210,84,259,175,1210,1765433024104
0,1765433024000,1765433025216,82,262,180,1216,1765433024104
0,1765433025000,1765433026221,77,241,164,1221,1765433025051
0,1765433025000,1765433026227,79,241,162,1227,1765433025051
0,1765433026000,1765433027315,67,220,153,1315,1765433026135
0,1765433026000,1765433027320,71,220,149,1320,1765433026135
0,1765433027000,1765433028144,63,199,136,1144,1765433027041
0,1765433027000,1765433028150,63,199,136,1150,1765433027041
0,1765433028000,1765433029144,63,205,142,1144,1765433028039
0,1765433028000,1765433029152,64,202,138,1152,1765433028039
0,1765433029000,1765433030260,68,217,149,1260,1765433029117
0,1765433029000,1765433030265,70,214,144,1265,1765433029117
0,1765433030000,1765433031082,68,205,137,1082,1765433030079
0,1765433030000,1765433031087,65,208,143,1087,1765433030079
0,1765433031000,1765433032094,72,220,148,1094,1765433031009
0,1765433031000,1765433032099,69,223,154,1099,1765433031009
0,1765433032000,1765433033115,77,250,173,1115,1765433032027
0,1765433032000,1765433033120,78,247,169,1120,1765433032027
0,1765433033000,1765433034036,94,295,201,1036,1765433033069
0,1765433033000,1765433034041,92,295,203,1041,1765433033069
0,1765433034000,1765433035120,104,328,224,1120,1765433034009
0,1765433034000,1765433035126,99,316,217,1126,1765433034009
0,1765433035000,1765433036160,108,346,238,1160,1765433035017
0,1765433035000,1765433036166,111,346,235,1166,1765433035017
0,1765433036000,1765433036958,124,382,258,958,1765433036009
0,1765433036000,1765433036963,121,379,258,963,1765433036009
0,1765433037000,1765433038063,116,376,260,1063,1765433037129
0,1765433037000,1765433038068,121,376,255,1068,1765433037129
0,1765433038000,1765433038973,112,367,255,973,1765433038030
0,1765433038000,1765433038980,119,367,248,980,1765433038030
0,1765433039000,1765433041648,134,403,269,2648,1765433039061
0,1765433039000,1765433041658,131,400,269,2658,1765433039061
0,1765433040000,1765433041785,133,412,279,1785,1765433040022
0,1765433040000,1765433041790,132,415,283,1790,1765433040022
0,1765433041000,1765433042023,113,361,248,1023,1765433041034
0,1765433041000,1765433042029,114,361,247,1029,1765433041034
0,1765433042000,1765433043007,99,310,211,1007,1765433042066
0,1765433042000,1765433043013,100,310,210,1013,1765433042066
0,1765433043000,1765433044020,91,286,195,1020,1765433043147
0,1765433043000,1765433044026,91,283,192,1026,1765433043147
0,1765433044000,1765433045013,83,262,179,1013,1765433044099
0,1765433044000,1765433045020,82,259,177,1020,1765433044099
0,1765433045000,1765433045919,69,226,157,919,1765433045026
0,1765433045000,1765433045924,70,223,153,924,1765433045026
0,1765433046000,1765433047467,63,193,130,1467,1765433046036
0,1765433046000,1765433047472,61,193,132,1472,1765433046036
0,1765433047000,1765433048457,60,187,127,1457,1765433047072
0,1765433047000,1765433048463,59,184,125,1463,1765433047072
0,1765433048000,1765433049297,58,184,126,1297,1765433048016
0,1765433048000,1765433049303,54,181,127,1303,1765433048016
0,1765433049000,1765433050327,59,193,134,1327,1765433049030
0,1765433049000,1765433050332,63,190,127,1332,1765433049030
0,1765433050000,1765433051307,63,205,142,1307,1765433050107
0,1765433050000,1765433051315,62,202,140,1315,1765433050107
0,1765433051000,1765433052229,77,244,167,1229,1765433051021
0,1765433051000,1765433052236,76,247,171,1236,1765433051021
0,1765433052000,1765433053324,91,292,201,1324,1765433052117
0,1765433052000,1765433053332,87,292,205,1332,1765433052117
0,1765433053000,1765433054257,98,319,221,1257,1765433053035
0,1765433053000,1765433054262,98,319,221,1262,1765433053035
0,1765433054000,1765433055178,101,328,227,1178,1765433054037
0,1765433054000,1765433055183,102,328,226,1183,1765433054037
0,1765433055000,1765433056188,112,352,240,1188,1765433055000
0,1765433055000,1765433056193,109,355,246,1193,1765433055000
0,1765433056000,1765433057188,125,403,278,1188,1765433056022
0,1765433056000,1765433057194,131,403,272,1194,1765433056022
0,1765433057000,1765433058111,122,397,275,1111,1765433057010
