task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,current_wm
2,1765432570000,1765432571559.0,32,97,65,1559.0,1765432570000
2,1765432571000,1765432572270.0,82,259,177,1270.0,1765432571009
2,1765432572000,1765432573205.0,115,361,246,1205.0,1765432572031
2,1765432573000,1765432575916.0,129,394,265,2916.0,1765432573040
2,1765432574000,1765432576307.0,132,409,277,2307.0,1765432574069
2,1765432575000,1765432576677.0,140,427,287,1677.0,1765432575162
2,1765432576000,1765432577222.0,130,403,273,1222.0,1765432576074
2,1765432577000,1765432578307.0,118,376,258,1307.0,1765432577064
2,1765432578000,1765432579270.0,111,346,235,1270.0,1765432578010
2,1765432579000,1765432580188.0,104,319,215,1188.0,1765432579011
2,1765432580000,1765432581220.0,93,280,187,1220.0,1765432580020
2,1765432581000,1765432582439.0,83,247,164,1439.0,1765432581096
2,1765432582000,1765432585992.0,76,226,150,3992.0,1765432582176
2,1765432583000,1765432586205.0,62,193,131,3205.0,1765432583066
2,1765432584000,1765432586374.0,65,202,137,2374.0,1765432584042
2,1765432585000,1765432586528.0,65,199,134,1528.0,1765432585028
2,1765432586000,1765432587146.0,64,193,129,1146.0,1765432586012
2,1765432587000,1765432588270.0,68,205,137,1270.0,1765432587028
2,1765432588000,1765432589223.0,69,214,145,1223.0,1765432588029
2,1765432589000,1765432590217.0,82,259,177,1217.0,1765432589037
2,1765432590000,1765432591148.0,96,298,202,1148.0,1765432590007
2,1765432591000,1765432592236.0,102,322,220,1236.0,1765432591028
2,1765432592000,1765432593158.0,115,358,243,1158.0,1765432592029
2,1765432593000,1765432594134.0,120,367,247,1134.0,1765432593002
2,1765432594000,1765432595252.0,117,367,250,1252.0,1765432594129
2,1765432595000,1765432596146.0,120,388,268,1146.0,1765432595001
2,1765432596000,1765432597154.0,129,406,277,1154.0,1765432596031
2,1765432597000,1765432598220.0,135,412,277,1220.0,1765432597028
2,1765432598000,1765432599130.0,127,397,270,1130.0,1765432598015
2,1765432599000,1765432600364.0,119,364,245,1364.0,1765432599142
2,1765432600000,1765432601194.0,103,316,213,1194.0,1765432600114
2,1765432601000,1765432602225.0,91,277,186,1225.0,1765432601019
2,1765432602000,1765432603209.0,84,250,166,1209.0,1765432602008
2,1765432603000,1765432604342.0,69,208,139,1342.0,1765432603191
2,1765432604000,1765432605249.0,68,208,140,1249.0,1765432604086
2,1765432605000,1765432606382.0,68,214,146,1382.0,1765432605085
2,1765432606000,1765432607225.0,66,214,148,1225.0,1765432606005
2,1765432607000,1765432608141.0,68,220,152,1141.0,1765432607003
2,1765432608000,1765432609880.0,72,223,151,1880.0,1765432608053
2,1765432609000,1765432610215.0,88,268,180,1215.0,1765432609063
2,1765432610000,1765432611122.0,102,307,205,1122.0,1765432609999
2,1765432611000,1765432612136.0,105,322,217,1136.0,1765432611001
2,1765432612000,1765432613181.0,114,346,232,1181.0,1765432612087
2,1765432613000,1765432614195.0,124,379,255,1195.0,1765432613098
