task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
0,1765281490000,1765281494091,18,171,153,4091,2000
0,1765281490000,1765281494093,18,171,153,4093,2000
0,1765281490000,1765281494101,17,171,154,4101,2000
0,1765281490000,1765281494103,18,171,153,4103,2000
0,1765281490000,1765281494104,17,171,154,4104,2000
0,1765281490000,1765281494105,17,161,144,4105,2000
0,1765281490000,1765281494106,16,171,155,4106,2000
0,1765281490000,1765281494107,18,171,153,4107,2000
0,1765281490000,1765281494108,18,171,153,4108,2000
0,1765281490000,1765281494109,18,171,153,4109,2000
0,1765281492000,1765281496050,37,361,324,4050,2000
0,1765281492000,1765281496052,37,361,324,4052,2000
0,1765281492000,1765281496053,37,361,324,4053,2000
0,1765281492000,1765281496054,35,361,326,4054,2000
0,1765281492000,1765281496055,37,361,324,4055,2000
0,1765281492000,1765281496057,37,371,334,4057,2000
0,1765281492000,1765281496058,38,371,333,4058,2000
0,1765281492000,1765281496059,36,361,325,4059,2000
0,1765281492000,1765281496060,37,371,334,4060,2000
0,1765281492000,1765281496061,37,371,334,4061,2000
0,1765281494000,1765281498085,43,431,388,4085,2000
0,1765281494000,1765281498087,43,431,388,4087,2000
0,1765281494000,1765281498088,44,431,387,4088,2000
0,1765281494000,1765281498089,44,431,387,4089,2000
0,1765281494000,1765281498090,41,431,390,4090,2000
0,1765281494000,1765281498092,44,431,387,4092,2000
0,1765281494000,1765281498093,43,421,378,4093,2000
0,1765281494000,1765281498094,43,431,388,4094,2000
0,1765281494000,1765281498095,43,431,388,4095,2000
0,1765281494000,1765281498096,43,431,388,4096,2000
0,1765281496000,1765281500057,37,381,344,4057,2000
0,1765281496000,1765281500059,38,391,353,4059,2000
0,1765281496000,1765281500060,39,381,342,4060,2000
0,1765281496000,1765281500061,38,381,343,4061,2000
0,1765281496000,1765281500062,38,381,343,4062,2000
0,1765281496000,1765281500063,37,381,344,4063,2000
0,1765281496000,1765281500064,36,381,345,4064,2000
0,1765281496000,1765281500065,38,381,343,4065,2000
0,1765281496000,1765281500066,38,381,343,4066,2000
0,1765281496000,1765281500068,39,381,342,4068,2000
0,1765281498000,1765281502084,32,311,279,4084,2000
0,1765281498000,1765281502086,30,301,271,4086,2000
0,1765281498000,1765281502087,29,301,272,4087,2000
0,1765281498000,1765281502088,30,301,271,4088,2000
0,1765281498000,1765281502089,30,301,271,4089,2000
0,1765281498000,1765281502090,31,301,270,4090,2000
0,1765281498000,1765281502091,31,301,270,4091,2000
0,1765281498000,1765281502092,31,301,270,4092,2000
0,1765281498000,1765281502092,31,311,280,4092,2000
0,1765281498000,1765281502093,32,311,279,4093,2000
0,1765281500000,1765281504063,28,271,243,4063,2000
0,1765281500000,1765281504064,28,271,243,4064,2000
0,1765281500000,1765281504065,27,261,234,4065,2000
0,1765281500000,1765281504066,27,271,244,4066,2000
0,1765281500000,1765281504067,28,271,243,4067,2000
0,1765281500000,1765281504068,28,271,243,4068,2000
0,1765281500000,1765281504070,28,271,243,4070,2000
0,1765281500000,1765281504071,28,271,243,4071,2000
0,1765281500000,1765281504072,27,271,244,4072,2000
0,1765281500000,1765281504073,26,261,235,4073,2000
0,1765281502000,1765281506064,21,201,180,4064,2000
0,1765281502000,1765281506065,20,201,181,4065,2000
0,1765281502000,1765281506066,21,201,180,4066,2000
0,1765281502000,1765281506067,21,201,180,4067,2000
0,1765281502000,1765281506068,21,201,180,4068,2000
0,1765281502000,1765281506069,21,201,180,4069,2000
0,1765281502000,1765281506070,19,201,182,4070,2000
0,1765281502000,1765281506071,21,201,180,4071,2000
0,1765281502000,1765281506072,21,201,180,4072,2000
0,1765281502000,1765281506073,21,201,180,4073,2000
0,1765281504000,1765281508005,19,191,172,4005,2000
0,1765281504000,1765281508006,20,191,171,4006,2000
0,1765281504000,1765281508007,21,201,180,4007,2000
0,1765281504000,1765281508008,20,191,171,4008,2000
0,1765281504000,1765281508009,20,191,171,4009,2000
0,1765281504000,1765281508010,21,201,180,4010,2000
0,1765281504000,1765281508011,20,191,171,4011,2000
0,1765281504000,1765281508012,19,201,182,4012,2000
0,1765281504000,1765281508013,21,201,180,4013,2000
0,1765281504000,1765281508013,21,201,180,4013,2000
0,1765281506000,1765281510069,21,201,180,4069,2000
0,1765281506000,1765281510070,21,201,180,4070,2000
0,1765281506000,1765281510071,19,191,172,4071,2000
0,1765281506000,1765281510072,21,201,180,4072,2000
0,1765281506000,1765281510073,21,201,180,4073,2000
0,1765281506000,1765281510074,21,201,180,4074,2000
0,1765281506000,1765281510075,21,201,180,4075,2000
0,1765281506000,1765281510076,19,201,182,4076,2000
0,1765281506000,1765281510077,21,201,180,4077,2000
0,1765281506000,1765281510077,21,201,180,4077,2000
0,1765281508000,1765281512087,22,221,199,4087,2000
0,1765281508000,1765281512088,22,211,189,4088,2000
0,1765281508000,1765281512090,22,221,199,4090,2000
0,1765281508000,1765281512090,22,211,189,4090,2000
0,1765281508000,1765281512091,21,211,190,4091,2000
0,1765281508000,1765281512092,23,221,198,4092,2000
0,1765281508000,1765281512093,22,211,189,4093,2000
0,1765281508000,1765281512094,22,211,189,4094,2000
0,1765281508000,1765281512095,22,211,189,4095,2000
0,1765281508000,1765281512096,23,221,198,4096,2000
0,1765281510000,1765281514011,31,301,270,4011,2000
0,1765281510000,1765281514013,29,301,272,4013,2000
0,1765281510000,1765281514014,30,301,271,4014,2000
0,1765281510000,1765281514015,30,301,271,4015,2000
0,1765281510000,1765281514016,31,301,270,4016,2000
0,1765281510000,1765281514017,31,311,280,4017,2000
0,1765281510000,1765281514018,30,301,271,4018,2000
0,1765281510000,1765281514019,31,301,270,4019,2000
0,1765281510000,1765281514020,29,311,282,4020,2000
0,1765281510000,1765281514021,30,301,271,4021,2000
0,1765281512000,1765281516008,38,371,333,4008,2000
0,1765281512000,1765281516010,36,361,325,4010,2000
0,1765281512000,1765281516011,37,361,324,4011,2000
0,1765281512000,1765281516011,37,371,334,4011,2000
0,1765281512000,1765281516012,38,371,333,4012,2000
0,1765281512000,1765281516013,38,371,333,4013,2000
0,1765281512000,1765281516014,37,371,334,4014,2000
0,1765281512000,1765281516015,38,371,333,4015,2000
0,1765281512000,1765281516015,35,371,336,4015,2000
0,1765281512000,1765281516016,36,371,335,4016,2000
0,1765281514000,1765281518018,35,351,316,4018,2000
0,1765281514000,1765281518019,35,361,326,4019,2000
0,1765281514000,1765281518020,37,361,324,4020,2000
0,1765281514000,1765281518021,35,351,316,4021,2000
0,1765281514000,1765281518022,35,361,326,4022,2000
0,1765281514000,1765281518023,36,351,315,4023,2000
0,1765281514000,1765281518024,36,351,315,4024,2000
0,1765281514000,1765281518025,35,361,326,4025,2000
0,1765281514000,1765281518026,36,361,325,4026,2000
0,1765281514000,1765281518027,36,361,325,4027,2000
0,1765281516000,1765281520085,43,421,378,4085,2000
0,1765281516000,1765281520086,42,431,389,4086,2000
0,1765281516000,1765281520087,42,421,379,4087,2000
0,1765281516000,1765281520088,43,431,388,4088,2000
0,1765281516000,1765281520089,43,431,388,4089,2000
