task_id,system_ts,event_ts,log_id,content,lag_magnitude
0,1765283296402,1765283288685,15,Log_15,7717
0,1765283300401,1765283293444,913,Log_913,6957
2,1765283308399,1765283301891,2192,Log_2192,6508
2,1765283312398,1765283304584,2472,Log_2472,7814
0,1765283316401,1765283309965,3173,Log_3173,6436
0,1765283320400,1765283313566,3841,Log_3841,6834
0,1765283330401,1765283323651,5415,Log_5415,6750
0,1765283332400,1765283325155,5581,Log_5581,7245
2,1765283342398,1765283334531,7137,Log_7137,7867
0,1765283344401,1765283337685,7680,Log_7680,6716
2,1765283348398,1765283341730,8222,Log_8222,6668
2,1765283352398,1765283345979,8667,Log_8667,6419
1,1765283360378,1765283353907,9938,Log_9938,6471
2,1765283362398,1765283353425,9842,Log_9842,8973
0,1765283366401,1765283359549,10915,Log_10915,6852
0,1765283368401,1765283361698,11171,Log_11171,6703
0,1765283372401,1765283365678,11551,Log_11551,6723
0,1765283378400,1765283371352,12413,Log_12413,7048
0,1765283380400,1765283373766,12893,Log_12893,6634
1,1765283388377,1765283381769,14134,Log_14134,6608
0,1765283392400,1765283385469,14490,Log_14490,6931
0,1765283394401,1765283387201,14711,Log_14711,7200
2,1765283402398,1765283395953,16267,Log_16267,6445
0,1765283408401,1765283401854,17155,Log_17155,6547
0,1765283416400,1765283408283,17885,Log_17885,8117
1,1765283418377,1765283411602,18438,Log_18438,6775
2,1765283418397,1765283411926,18517,Log_18517,6471
2,1765283420398,1765283413259,18782,Log_18782,7139
0,1765283422401,1765283415994,19360,Log_19360,6407
