task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
2,1765283290000,1765283294024,21,201,180,4024,2320
0,1765283290000,1765283294024,20,201,181,4024,2320
1,1765283290000,1765283294025,20,191,171,4025,2320
0,1765283290000,1765283294026,20,201,181,4026,2320
2,1765283290000,1765283294027,21,201,180,4027,2320
1,1765283290000,1765283294028,20,191,171,4028,2320
0,1765283290000,1765283294028,20,191,171,4028,2320
2,1765283290000,1765283294028,21,201,180,4028,2320
1,1765283290000,1765283294029,18,201,183,4029,2320
0,1765283290000,1765283294030,21,201,180,4030,2320
2,1765283292000,1765283296025,38,381,343,4025,2320
1,1765283292000,1765283296025,40,391,351,4025,2320
0,1765283292000,1765283296025,39,391,352,4025,2320
2,1765283292000,1765283296027,39,381,342,4027,2320
1,1765283292000,1765283296027,39,381,342,4027,2320
0,1765283292000,1765283296027,37,381,344,4027,2320
2,1765283292000,1765283296029,39,381,342,4029,2320
0,1765283292000,1765283296029,39,391,352,4029,2320
1,1765283292000,1765283296029,40,391,351,4029,2320
0,1765283292000,1765283296030,38,381,343,4030,2320
1,1765283294000,1765283298027,44,431,387,4027,2320
0,1765283294000,1765283298027,44,431,387,4027,2320
2,1765283294000,1765283298027,43,431,388,4027,2320
1,1765283294000,1765283298029,43,421,378,4029,2320
0,1765283294000,1765283298029,43,421,378,4029,2320
2,1765283294000,1765283298029,44,431,387,4029,2320
2,1765283294000,1765283298030,43,431,388,4030,2320
1,1765283294000,1765283298030,42,421,379,4030,2320
0,1765283294000,1765283298030,41,431,390,4030,2320
0,1765283294000,1765283298032,42,421,379,4032,2320
2,1765283296000,1765283300040,38,371,333,4040,2320
1,1765283296000,1765283300040,36,371,335,4040,2320
0,1765283296000,1765283300040,37,381,344,4040,2320
1,1765283296000,1765283300042,37,381,344,4042,2320
2,1765283296000,1765283300041,38,381,343,4041,2320
0,1765283296000,1765283300042,37,361,324,4042,2320
2,1765283296000,1765283300043,38,371,333,4043,2320
1,1765283296000,1765283300043,38,381,343,4043,2320
0,1765283296000,1765283300044,38,371,333,4044,2320
0,1765283296000,1765283300045,37,371,334,4045,2320
0,1765283298000,1765283302041,31,301,270,4041,2320
2,1765283298000,1765283302042,31,301,270,4042,2320
1,1765283298000,1765283302042,29,301,272,4042,2320
0,1765283298000,1765283302043,29,291,262,4043,2320
2,1765283298000,1765283302043,30,301,271,4043,2320
1,1765283298000,1765283302044,30,301,271,4044,2320
2,1765283298000,1765283302045,29,291,262,4045,2320
0,1765283298000,1765283302045,30,301,271,4045,2320
1,1765283298000,1765283302045,31,301,270,4045,2320
0,1765283298000,1765283302046,30,291,261,4046,2320
2,1765283300000,1765283304044,27,261,234,4044,2320
1,1765283300000,1765283304044,26,261,235,4044,2320
0,1765283300000,1765283304044,28,271,243,4044,2320
2,1765283300000,1765283304045,27,261,234,4045,2320
0,1765283300000,1765283304046,27,261,234,4046,2320
1,1765283300000,1765283304046,27,261,234,4046,2320
2,1765283300000,1765283304047,26,261,235,4047,2320
1,1765283300000,1765283304047,26,251,225,4047,2320
0,1765283300000,1765283304047,27,261,234,4047,2320
0,1765283300000,1765283304048,28,271,243,4048,2320
2,1765283302000,1765283306046,20,191,171,4046,2320
1,1765283302000,1765283306046,20,191,171,4046,2320
0,1765283302000,1765283306047,20,191,171,4047,2320
2,1765283302000,1765283306048,20,201,181,4048,2320
1,1765283302000,1765283306048,19,201,182,4048,2320
0,1765283302000,1765283306048,19,191,172,4048,2320
2,1765283302000,1765283306049,20,191,171,4049,2320
1,1765283302000,1765283306049,20,191,171,4049,2320
0,1765283302000,1765283306049,20,191,171,4049,2320
0,1765283302000,1765283306051,21,201,180,4051,2320
1,1765283304000,1765283308049,19,191,172,4049,2320
2,1765283304000,1765283308049,21,201,180,4049,2320
0,1765283304000,1765283308050,20,191,171,4050,2320
1,1765283304000,1765283308051,21,201,180,4051,2320
2,1765283304000,1765283308051,20,201,181,4051,2320
0,1765283304000,1765283308052,21,201,180,4052,2320
1,1765283304000,1765283308053,19,201,182,4053,2320
2,1765283304000,1765283308053,21,201,180,4053,2320
0,1765283304000,1765283308055,21,201,180,4055,2320
