task_id,system_ts,event_ts,log_id,content,lag_magnitude
1,1765280538423,1765280531851,339,Log_339,6572
0,1765280538520,1765280529859,15,Log_15,8661
0,1765280540518,1765280533577,691,Log_691,6941
2,1765280542454,1765280535952,1182,Log_1182,6502
2,1765280550453,1765280543065,2192,Log_2192,7388
2,1765280552452,1765280545758,2472,Log_2472,6694
2,1765280562453,1765280555288,3962,Log_3962,7165
1,1765280566420,1765280559848,4824,Log_4824,6572
0,1765280572518,1765280564825,5415,Log_5415,7693
0,1765280572519,1765280565809,5523,Log_5523,6710
2,1765280576452,1765280569328,5947,Log_5947,7124
2,1765280582452,1765280575705,7137,Log_7137,6747
0,1765280582517,1765280575588,7110,Log_7110,6929
0,1765280584517,1765280577448,7441,Log_7441,7069
0,1765280586517,1765280578859,7680,Log_7680,7658
2,1765280590452,1765280582904,8222,Log_8222,7548
2,1765280592452,1765280585886,8536,Log_8536,6566
1,1765280598421,1765280591722,9298,Log_9298,6699
2,1765280602452,1765280594598,9842,Log_9842,7854
0,1765280602518,1765280595938,10095,Log_10095,6580
0,1765280608517,1765280601557,11030,Log_11030,6960
0,1765280610517,1765280603825,11260,Log_11260,6692
0,1765280614518,1765280606852,11551,Log_11551,7666
0,1765280614518,1765280607886,11661,Log_11661,6632
2,1765280616452,1765280609580,11917,Log_11917,6872
0,1765280618517,1765280611935,12303,Log_12303,6582
0,1765280622518,1765280614939,12893,Log_12893,7579
0,1765280636517,1765280628374,14711,Log_14711,8143
0,1765280638517,1765280631357,15181,Log_15181,7160
1,1765280644421,1765280637672,16378,Log_16378,6749
2,1765280644452,1765280637127,16267,Log_16267,7325
0,1765280656518,1765280649457,17885,Log_17885,7061
2,1765280658452,1765280651723,18242,Log_18242,6729
0,1765280658517,1765280651419,18180,Log_18180,7098
1,1765280660421,1765280652776,18438,Log_18438,7645
