task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
2,1765280530000,1765280533834,4,31,27,3834,2000
1,1765280530000,1765280533835,3,21,18,3835,2000
2,1765280530000,1765280533836,3,21,18,3836,2000
1,1765280530000,1765280533836,3,21,18,3836,2000
2,1765280530000,1765280533837,3,21,18,3837,2000
1,1765280530000,1765280533837,3,21,18,3837,2000
0,1765280530000,1765280533975,4,31,27,3975,2000
0,1765280530000,1765280533976,2,21,19,3976,2000
0,1765280530000,1765280533977,3,21,18,3977,2000
0,1765280530000,1765280533978,3,21,18,3978,2000
1,1765280532000,1765280535899,33,331,298,3899,2000
2,1765280532000,1765280535899,33,331,298,3899,2000
1,1765280532000,1765280535901,32,341,309,3901,2000
2,1765280532000,1765280535901,34,331,297,3901,2000
1,1765280532000,1765280535902,34,331,297,3902,2000
2,1765280532000,1765280535902,34,331,297,3902,2000
0,1765280532000,1765280535978,33,331,298,3978,2000
0,1765280532000,1765280535980,34,341,307,3980,2000
0,1765280532000,1765280535981,34,331,297,3981,2000
0,1765280532000,1765280535982,35,341,306,3982,2000
1,1765280534000,1765280537837,41,401,360,3837,2000
2,1765280534000,1765280537837,40,391,351,3837,2000
1,1765280534000,1765280537838,41,401,360,3838,2000
2,1765280534000,1765280537838,40,401,361,3838,2000
1,1765280534000,1765280537839,40,391,351,3839,2000
2,1765280534000,1765280537839,41,401,360,3839,2000
0,1765280534000,1765280537978,39,391,352,3978,2000
0,1765280534000,1765280537980,39,401,362,3980,2000
0,1765280534000,1765280537981,38,391,353,3981,2000
0,1765280534000,1765280537983,38,391,353,3983,2000
1,1765280536000,1765280539840,41,401,360,3840,2000
2,1765280536000,1765280539840,40,401,361,3840,2000
2,1765280536000,1765280539842,39,391,352,3842,2000
1,1765280536000,1765280539842,40,401,361,3842,2000
1,1765280536000,1765280539843,39,401,362,3843,2000
2,1765280536000,1765280539843,41,401,360,3843,2000
0,1765280536000,1765280539984,41,411,370,3984,2000
0,1765280536000,1765280539985,39,401,362,3985,2000
0,1765280536000,1765280539986,39,401,362,3986,2000
0,1765280536000,1765280539987,41,401,360,3987,2000
1,1765280538000,1765280541885,34,361,327,3885,2000
2,1765280538000,1765280541885,37,371,334,3885,2000
1,1765280538000,1765280541886,36,361,325,3886,2000
2,1765280538000,1765280541887,37,361,324,3887,2000
1,1765280538000,1765280541887,35,361,326,3887,2000
2,1765280538000,1765280541888,37,361,324,3888,2000
0,1765280538000,1765280541977,37,361,324,3977,2000
0,1765280538000,1765280541979,37,361,324,3979,2000
0,1765280538000,1765280541980,37,361,324,3980,2000
0,1765280538000,1765280541981,35,361,326,3981,2000
1,1765280540000,1765280543888,29,291,262,3888,2000
2,1765280540000,1765280543889,29,291,262,3889,2000
1,1765280540000,1765280543891,30,291,261,3891,2000
2,1765280540000,1765280543891,29,291,262,3891,2000
1,1765280540000,1765280543892,30,291,261,3892,2000
2,1765280540000,1765280543893,29,281,252,3893,2000
0,1765280540000,1765280543981,30,291,261,3981,2000
0,1765280540000,1765280543982,29,281,252,3982,2000
0,1765280540000,1765280543983,30,291,261,3983,2000
0,1765280540000,1765280543984,29,291,262,3984,2000
1,1765280542000,1765280545890,22,221,199,3890,2000
2,1765280542000,1765280545891,24,231,207,3891,2000
1,1765280542000,1765280545892,23,221,198,3892,2000
2,1765280542000,1765280545892,24,231,207,3892,2000
1,1765280542000,1765280545893,23,231,208,3893,2000
2,1765280542000,1765280545893,24,231,207,3893,2000
0,1765280542000,1765280545986,24,231,207,3986,2000
0,1765280542000,1765280545987,23,221,198,3987,2000
0,1765280542000,1765280545989,24,231,207,3989,2000
0,1765280542000,1765280545990,23,221,198,3990,2000
2,1765280544000,1765280547895,19,191,172,3895,2000
1,1765280544000,1765280547895,19,191,172,3895,2000
