task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
1,1765280346000,1765280350619,12,111,99,4619,2000
0,1765280346000,1765280350620,13,121,108,4620,2000
1,1765280346000,1765280350621,12,111,99,4621,2000
0,1765280346000,1765280350621,12,121,109,4621,2000
1,1765280346000,1765280350622,11,121,110,4622,2000
0,1765280346000,1765280350623,12,111,99,4623,2000
1,1765280347000,1765280350624,29,281,252,3624,2000
0,1765280346000,1765280350625,13,121,108,4625,2000
1,1765280347000,1765280350626,26,281,255,3626,2000
0,1765280347000,1765280350626,28,281,253,3626,2000
1,1765280347000,1765280350627,29,281,252,3627,2000
0,1765280347000,1765280350628,28,281,253,3628,2000
0,1765280347000,1765280350629,28,281,253,3629,2000
0,1765280347000,1765280350630,29,281,252,3630,2000
2,1765280346000,1765280351212,13,121,108,5212,2000
2,1765280346000,1765280351214,13,121,108,5214,2000
2,1765280346000,1765280351215,12,111,99,5215,2000
2,1765280347000,1765280351216,28,281,253,4216,2000
2,1765280347000,1765280351217,29,281,252,4217,2000
2,1765280347000,1765280351218,29,281,252,4218,2000
1,1765280348000,1765280352620,37,361,324,4620,2000
0,1765280348000,1765280352620,35,341,306,4620,2000
1,1765280348000,1765280352621,37,361,324,4621,2000
0,1765280348000,1765280352621,35,351,316,4621,2000
1,1765280348000,1765280352623,35,351,316,4623,2000
0,1765280348000,1765280352623,35,351,316,4623,2000
0,1765280348000,1765280352624,37,361,324,4624,2000
1,1765280349000,1765280352624,40,391,351,3624,2000
0,1765280349000,1765280352625,39,401,362,3625,2000
1,1765280349000,1765280352626,40,391,351,3626,2000
0,1765280349000,1765280352627,39,391,352,3627,2000
1,1765280349000,1765280352627,41,401,360,3627,2000
0,1765280349000,1765280352629,39,391,352,3629,2000
0,1765280349000,1765280352630,41,401,360,3630,2000
2,1765280348000,1765280353213,36,351,315,5213,2000
2,1765280348000,1765280353215,37,361,324,5215,2000
2,1765280348000,1765280353216,35,351,316,5216,2000
2,1765280349000,1765280353217,41,401,360,4217,2000
2,1765280349000,1765280353218,40,401,361,4218,2000
2,1765280349000,1765280353220,40,391,351,4220,2000
0,1765280350000,1765280354622,40,411,371,4622,2000
1,1765280350000,1765280354624,42,411,369,4624,2000
0,1765280350000,1765280354624,41,411,370,4624,2000
0,1765280350000,1765280354625,41,411,370,4625,2000
1,1765280350000,1765280354625,42,411,369,4625,2000
