task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
1,1765283058000,1765283063328,29,281,252,5328,3000
0,1765283058000,1765283063328,29,281,252,5328,3000
2,1765283058000,1765283063328,30,291,261,5328,3000
2,1765283058000,1765283063330,30,291,261,5330,3000
0,1765283058000,1765283063330,29,291,262,5330,3000
1,1765283058000,1765283063330,29,281,252,5330,3000
2,1765283058000,1765283063331,29,281,252,5331,3000
0,1765283058000,1765283063332,29,291,262,5332,3000
1,1765283058000,1765283063332,27,291,264,5332,3000
0,1765283058000,1765283063333,30,291,261,5333,3000
1,1765283060000,1765283065321,41,401,360,5321,3000
2,1765283060000,1765283065321,39,391,352,5321,3000
0,1765283060000,1765283065321,40,391,351,5321,3000
0,1765283060000,1765283065322,38,391,353,5322,3000
2,1765283060000,1765283065322,41,401,360,5322,3000
1,1765283060000,1765283065323,41,401,360,5323,3000
2,1765283060000,1765283065324,40,391,351,5324,3000
0,1765283060000,1765283065324,40,401,361,5324,3000
1,1765283060000,1765283065324,40,391,351,5324,3000
0,1765283060000,1765283065325,39,401,362,5325,3000
0,1765283062000,1765283067323,39,401,362,5323,3000
1,1765283062000,1765283067323,41,401,360,5323,3000
2,1765283062000,1765283067324,41,401,360,5324,3000
0,1765283062000,1765283067325,39,411,372,5325,3000
1,1765283062000,1765283067326,41,411,370,5326,3000
2,1765283062000,1765283067327,40,401,361,5327,3000
0,1765283062000,1765283067328,42,411,369,5328,3000
1,1765283062000,1765283067328,39,401,362,5328,3000
2,1765283062000,1765283067329,41,411,370,5329,3000
0,1765283062000,1765283067329,40,401,361,5329,3000
1,1765283064000,1765283069327,36,371,335,5327,3000
0,1765283064000,1765283069327,38,371,333,5327,3000
2,1765283064000,1765283069327,38,371,333,5327,3000
1,1765283064000,1765283069328,36,371,335,5328,3000
0,1765283064000,1765283069329,38,371,333,5329,3000
2,1765283064000,1765283069329,39,381,342,5329,3000
1,1765283064000,1765283069330,37,371,334,5330,3000
2,1765283064000,1765283069330,38,371,333,5330,3000
0,1765283064000,1765283069330,37,371,334,5330,3000
0,1765283064000,1765283069331,37,371,334,5331,3000
2,1765283066000,1765283071330,30,301,271,5330,3000
1,1765283066000,1765283071330,31,311,280,5330,3000
0,1765283066000,1765283071330,30,291,261,5330,3000
2,1765283066000,1765283071331,30,301,271,5331,3000
1,1765283066000,1765283071331,32,311,279,5331,3000
0,1765283066000,1765283071332,32,311,279,5332,3000
2,1765283066000,1765283071333,31,301,270,5333,3000
1,1765283066000,1765283071333,30,301,271,5333,3000
0,1765283066000,1765283071333,31,301,270,5333,3000
0,1765283066000,1765283071334,31,311,280,5334,3000
0,1765283068000,1765283073333,24,231,207,5333,3000
1,1765283068000,1765283073333,24,231,207,5333,3000
2,1765283068000,1765283073333,23,221,198,5333,3000
0,1765283068000,1765283073334,24,231,207,5334,3000
1,1765283068000,1765283073334,23,231,208,5334,3000
2,1765283068000,1765283073335,24,231,207,5335,3000
1,1765283068000,1765283073336,23,231,208,5336,3000
2,1765283068000,1765283073336,25,241,216,5336,3000
0,1765283068000,1765283073336,24,231,207,5336,3000
0,1765283068000,1765283073337,24,231,207,5337,3000
0,1765283070000,1765283075337,20,191,171,5337,3000
1,1765283070000,1765283075338,19,191,172,5338,3000
2,1765283070000,1765283075338,20,191,171,5338,3000
2,1765283070000,1765283075340,20,191,171,5340,3000
0,1765283070000,1765283075340,20,191,171,5340,3000
1,1765283070000,1765283075340,20,191,171,5340,3000
0,1765283070000,1765283075341,20,191,171,5341,3000
2,1765283070000,1765283075342,20,191,171,5342,3000
1,1765283070000,1765283075342,19,191,172,5342,3000
0,1765283070000,1765283075343,19,191,172,5343,3000
0,1765283072000,1765283077337,20,191,171,5337,3000
1,1765283072000,1765283077337,19,191,172,5337,3000
2,1765283072000,1765283077337,20,191,171,5337,3000
0,1765283072000,1765283077339,20,191,171,5339,3000
1,1765283072000,1765283077339,20,191,171,5339,3000
2,1765283072000,1765283077339,19,191,172,5339,3000
