task_id,system_ts,event_ts,log_id,content,lag_magnitude
0,1765280971986,1765280964343,15,Log_15,7643
2,1765280972019,1765280965322,157,Log_157,6697
2,1765280972019,1765280965864,246,Log_246,6155
2,1765280972019,1765280965998,276,Log_276,6021
0,1765280975983,1765280968061,691,Log_691,7922
0,1765280975983,1765280969102,913,Log_913,6881
2,1765280976016,1765280969588,1022,Log_1022,6428
2,1765280976016,1765280969711,1046,Log_1046,6305
0,1765280977981,1765280971491,1390,Log_1390,6490
0,1765280977982,1765280971198,1331,Log_1331,6784
0,1765280977983,1765280970866,1271,Log_1271,7117
2,1765280978016,1765280970435,1182,Log_1182,7581
0,1765280979981,1765280973938,1790,Log_1790,6043
1,1765280979998,1765280973647,1728,Log_1728,6351
1,1765280981996,1765280975836,2028,Log_2028,6160
0,1765280983981,1765280977559,2193,Log_2193,6422
2,1765280984016,1765280977861,2222,Log_2222,6155
2,1765280984016,1765280977549,2192,Log_2192,6467
1,1765280985997,1765280979633,2409,Log_2409,6364
1,1765280985997,1765280979545,2398,Log_2398,6452
2,1765280986017,1765280979557,2402,Log_2402,6460
1,1765280987996,1765280981585,2614,Log_2614,6411
2,1765280988016,1765280980242,2472,Log_2472,7774
0,1765280989985,1765280983468,2830,Log_2830,6517
0,1765280989985,1765280983644,2861,Log_2861,6341
1,1765280989996,1765280983781,2874,Log_2874,6215
2,1765280990016,1765280983890,2897,Log_2897,6126
0,1765280991983,1765280985422,3133,Log_3133,6561
0,1765280991983,1765280985623,3173,Log_3173,6360
1,1765280991996,1765280985893,3218,Log_3218,6103
1,1765280991996,1765280985789,3208,Log_3208,6207
0,1765280995985,1765280989691,3935,Log_3935,6294
0,1765280995985,1765280989223,3841,Log_3841,6762
2,1765280996016,1765280989772,3962,Log_3962,6244
0,1765280997982,1765280991929,4401,Log_4401,6053
0,1765280997985,1765280991569,4341,Log_4341,6416
1,1765280997997,1765280991736,4368,Log_4368,6261
2,1765281000017,1765280993481,4692,Log_4692,6536
2,1765281000018,1765280992599,4532,Log_4532,7419
0,1765281003982,1765280997977,5260,Log_5260,6005
0,1765281005982,1765280999309,5415,Log_5415,6673
2,1765281006017,1765280999976,5477,Log_5477,6041
0,1765281007986,1765281000812,5581,Log_5581,7174
0,1765281009986,1765281002897,5811,Log_5811,7089
1,1765281009997,1765281003902,5964,Log_5964,6095
2,1765281010016,1765281003812,5947,Log_5947,6204
1,1765281013996,1765281007465,6574,Log_6574,6531
1,1765281013996,1765281007969,6679,Log_6679,6027
0,1765281017982,1765281010072,7110,Log_7110,7910
0,1765281017985,1765281011932,7441,Log_7441,6053
2,1765281018016,1765281011742,7402,Log_7402,6274
2,1765281018017,1765281010189,7137,Log_7137,7828
0,1765281021983,1765281015649,8020,Log_8020,6334
0,1765281021983,1765281013343,7680,Log_7680,8640
2,1765281022016,1765281015478,7996,Log_7996,6538
0,1765281023981,1765281017959,8290,Log_8290,6022
0,1765281023982,1765281017844,8275,Log_8275,6138
0,1765281023982,1765281017023,8183,Log_8183,6959
1,1765281023996,1765281017841,8274,Log_8274,6155
2,1765281024016,1765281017388,8222,Log_8222,6628
2,1765281028016,1765281021441,8647,Log_8647,6575
2,1765281028017,1765281021859,8686,Log_8686,6158
2,1765281028017,1765281021636,8667,Log_8667,6381
0,1765281029982,1765281023899,8935,Log_8935,6083
2,1765281030016,1765281023988,8952,Log_8952,6028
0,1765281031983,1765281024776,9061,Log_9061,7207
1,1765281031996,1765281025888,9248,Log_9248,6108
1,1765281031996,1765281025139,9129,Log_9129,6857
2,1765281032016,1765281025974,9262,Log_9262,6042
0,1765281033981,1765281027436,9531,Log_9531,6545
0,1765281033983,1765281027643,9581,Log_9581,6340
2,1765281034016,1765281027873,9617,Log_9617,6143
1,1765281035996,1765281029565,9938,Log_9938,6431
2,1765281036016,1765281029559,9937,Log_9937,6457
2,1765281036016,1765281029250,9867,Log_9867,6766
0,1765281037981,1765281031941,10420,Log_10420,6040
2,1765281038016,1765281029082,9842,Log_9842,8934
1,1765281039996,1765281033394,10669,Log_10669,6602
0,1765281041982,1765281035207,10915,Log_10915,6775
0,1765281043982,1765281037356,11171,Log_11171,6626
0,1765281045982,1765281038309,11260,Log_11260,7673
2,1765281046017,1765281039780,11387,Log_11387,6237
0,1765281047982,1765281041435,11563,Log_11563,6547
0,1765281047982,1765281041256,11541,Log_11541,6726
0,1765281047985,1765281041336,11551,Log_11551,6649
0,1765281049983,1765281043322,11801,Log_11801,6661
0,1765281049983,1765281042370,11661,Log_11661,7613
1,1765281049996,1765281043826,11878,Log_11878,6170
2,1765281050016,1765281043689,11856,Log_11856,6327
0,1765281051982,1765281045291,12115,Log_12115,6691
0,1765281053983,1765281047010,12413,Log_12413,6973
2,1765281056017,1765281049984,13007,Log_13007,6033
0,1765281057984,1765281051730,13330,Log_13330,6254
0,1765281057984,1765281049423,12893,Log_12893,8561
0,1765281061982,1765281054941,13851,Log_13851,7041
1,1765281061996,1765281055901,13964,Log_13964,6095
2,1765281062016,1765281055662,13942,Log_13942,6354
1,1765281063996,1765281057426,14134,Log_14134,6570
0,1765281065981,1765281059121,14301,Log_14301,6860
2,1765281066016,1765281059625,14336,Log_14336,6391
0,1765281067987,1765281061127,14490,Log_14490,6860
0,1765281069981,1765281063999,14880,Log_14880,5982
0,1765281069981,1765281063773,14840,Log_14840,6208
1,1765281069996,1765281062663,14684,Log_14684,7333
0,1765281071984,1765281062858,14711,Log_14711,9126
0,1765281071984,1765281065841,15181,Log_15181,6143
2,1765281074016,1765281066704,15322,Log_15322,7312
2,1765281076016,1765281069343,15827,Log_15827,6673
0,1765281077983,1765281071783,16305,Log_16305,6200
1,1765281079996,1765281073773,16629,Log_16629,6223
1,1765281079997,1765281072156,16378,Log_16378,7841
2,1765281080016,1765281071611,16267,Log_16267,8405
0,1765281083985,1765281077512,17155,Log_17155,6473
1,1765281087996,1765281080666,17478,Log_17478,7330
2,1765281088016,1765281081226,17542,Log_17542,6790
1,1765281089996,1765281082746,17724,Log_17724,7250
2,1765281090016,1765281082825,17737,Log_17737,7191
2,1765281090016,1765281083957,17887,Log_17887,6059
0,1765281091984,1765281084493,17973,Log_17973,7491
0,1765281091984,1765281083941,17885,Log_17885,8043
2,1765281092016,1765281085621,18137,Log_18137,6395
0,1765281093985,1765281085903,18180,Log_18180,8082
1,1765281093996,1765281087816,18564,Log_18564,6180
1,1765281093996,1765281087260,18438,Log_18438,6736
2,1765281094016,1765281087584,18517,Log_18517,6432
0,1765281095982,1765281089664,18945,Log_18945,6318
0,1765281095985,1765281089727,18955,Log_18955,6258
1,1765281095996,1765281088742,18738,Log_18738,7254
2,1765281096016,1765281089964,19007,Log_19007,6052
2,1765281096016,1765281088917,18782,Log_18782,7099
0,1765281097982,1765281091652,19360,Log_19360,6330
1,1765281097996,1765281091919,19409,Log_19409,6077
2,1765281098016,1765281091851,19397,Log_19397,6165
0,1765281099981,1765281092822,19583,Log_19583,7159
2,1765281100017,1765281093178,19646,Log_19646,6839
