task_id,window_end,trigger_ts,count_actual,count_expected,loss_network,lag_system,watermark_setting
2,1765281220000,1765281227599,26,251,225,7599,5000
2,1765281220000,1765281227600,26,251,225,7600,5000
2,1765281220000,1765281227602,26,251,225,7602,5000
1,1765281220000,1765281228013,26,251,225,8013,5000
1,1765281220000,1765281228015,26,251,225,8015,5000
1,1765281220000,1765281228016,23,251,228,8016,5000
0,1765281220000,1765281228561,26,251,225,8561,5000
0,1765281220000,1765281228562,25,241,216,8562,5000
0,1765281220000,1765281228564,25,251,226,8564,5000
0,1765281220000,1765281228565,26,251,225,8565,5000
2,1765281222000,1765281229601,40,391,351,7601,5000
2,1765281222000,1765281229602,39,391,352,7602,5000
2,1765281222000,1765281229603,39,381,342,7603,5000
1,1765281222000,1765281230013,39,381,342,8013,5000
1,1765281222000,1765281230014,39,381,342,8014,5000
1,1765281222000,1765281230016,40,391,351,8016,5000
0,1765281222000,1765281230561,38,391,353,8561,5000
0,1765281222000,1765281230563,40,391,351,8563,5000
0,1765281222000,1765281230564,38,381,343,8564,5000
0,1765281222000,1765281230565,39,391,352,8565,5000
2,1765281224000,1765281231603,42,421,379,7603,5000
2,1765281224000,1765281231604,43,431,388,7604,5000
2,1765281224000,1765281231605,42,421,379,7605,5000
1,1765281224000,1765281232015,42,421,379,8015,5000
1,1765281224000,1765281232017,42,421,379,8017,5000
1,1765281224000,1765281232018,43,421,378,8018,5000
0,1765281224000,1765281232565,42,421,379,8565,5000
0,1765281224000,1765281232566,42,421,379,8566,5000
0,1765281224000,1765281232567,40,421,381,8567,5000
0,1765281224000,1765281232568,43,421,378,8568,5000
2,1765281226000,1765281233605,38,371,333,7605,5000
2,1765281226000,1765281233607,38,371,333,7607,5000
2,1765281226000,1765281233608,38,371,333,7608,5000
1,1765281226000,1765281234018,36,361,325,8018,5000
1,1765281226000,1765281234019,37,381,344,8019,5000
1,1765281226000,1765281234021,37,371,334,8021,5000
0,1765281226000,1765281234569,36,371,335,8569,5000
0,1765281226000,1765281234570,37,371,334,8570,5000
0,1765281226000,1765281234571,38,371,333,8571,5000
0,1765281226000,1765281234572,38,371,333,8572,5000
2,1765281228000,1765281235610,31,301,270,7610,5000
2,1765281228000,1765281235611,31,311,280,7611,5000
2,1765281228000,1765281235612,30,301,271,7612,5000
1,1765281228000,1765281236024,30,301,271,8024,5000
1,1765281228000,1765281236025,31,311,280,8025,5000
1,1765281228000,1765281236027,31,311,280,8027,5000
0,1765281228000,1765281236571,32,311,279,8571,5000
0,1765281228000,1765281236572,32,311,279,8572,5000
0,1765281228000,1765281236573,31,311,280,8573,5000
0,1765281228000,1765281236574,31,311,280,8574,5000
2,1765281230000,1765281237610,25,251,226,7610,5000
2,1765281230000,1765281237611,25,241,216,7611,5000
2,1765281230000,1765281237612,25,241,216,7612,5000
1,1765281230000,1765281238023,24,231,207,8023,5000
1,1765281230000,1765281238024,25,241,216,8024,5000
1,1765281230000,1765281238033,24,241,217,8033,5000
0,1765281230000,1765281238573,25,241,216,8573,5000
0,1765281230000,1765281238574,25,241,216,8574,5000
0,1765281230000,1765281238575,25,241,216,8575,5000
0,1765281230000,1765281238576,25,241,216,8576,5000
2,1765281232000,1765281239613,20,191,171,7613,5000
2,1765281232000,1765281239614,19,181,162,7614,5000
2,1765281232000,1765281239615,19,181,162,7615,5000
1,1765281232000,1765281240026,19,191,172,8026,5000
1,1765281232000,1765281240028,20,191,171,8028,5000
1,1765281232000,1765281240029,18,181,163,8029,5000
0,1765281232000,1765281240574,19,181,162,8574,5000
0,1765281232000,1765281240576,19,181,162,8576,5000
0,1765281232000,1765281240577,18,181,163,8577,5000
0,1765281232000,1765281240578,20,191,171,8578,5000
2,1765281234000,1765281241615,20,191,171,7615,5000
2,1765281234000,1765281241616,21,201,180,7616,5000
2,1765281234000,1765281241618,19,191,172,7618,5000
1,1765281234000,1765281242028,19,191,172,8028,5000
1,1765281234000,1765281242030,20,191,171,8030,5000
1,1765281234000,1765281242031,19,191,172,8031,5000
0,1765281234000,1765281242577,20,191,171,8577,5000
0,1765281234000,1765281242579,21,201,180,8579,5000
0,1765281234000,1765281242580,20,191,171,8580,5000
0,1765281234000,1765281242581,21,201,180,8581,5000
2,1765281236000,1765281243618,20,191,171,7618,5000
2,1765281236000,1765281243619,19,201,182,7619,5000
2,1765281236000,1765281243620,21,201,180,7620,5000
1,1765281236000,1765281244030,21,201,180,8030,5000
1,1765281236000,1765281244031,21,201,180,8031,5000
1,1765281236000,1765281244032,21,201,180,8032,5000
0,1765281236000,1765281244580,21,201,180,8580,5000
0,1765281236000,1765281244582,20,191,171,8582,5000
0,1765281236000,1765281244583,21,201,180,8583,5000
0,1765281236000,1765281244584,21,201,180,8584,5000
2,1765281238000,1765281245620,26,251,225,7620,5000
2,1765281238000,1765281245622,26,251,225,7622,5000
2,1765281238000,1765281245623,26,251,225,7623,5000
1,1765281238000,1765281246033,25,251,226,8033,5000
